local_row_0based,local_col_0based,global_line_1based,global_col_1based,count_uint16,quality_code,radiance_w_m2_sr_um,brightness_temp_c,is_projected_hko_pixel
526,2765,2727,2766,1544,0,9.403787,24.084745,False
526,2766,2727,2767,1543,0,9.407538,24.109995,False
526,2767,2727,2768,1545,0,9.400034,24.05949,False
526,2768,2727,2769,1543,0,9.407538,24.109995,False
526,2769,2727,2770,1538,0,9.426301,24.236155,False
526,2770,2727,2771,1540,0,9.418797,24.185709,False
526,2771,2727,2772,1538,0,9.426301,24.236155,False
526,2772,2727,2773,1539,0,9.422549,24.210936,False
526,2773,2727,2774,1545,0,9.400034,24.05949,False
526,2774,2727,2775,1553,0,9.370013,23.857233,False
526,2775,2727,2776,1549,0,9.385024,23.958408,False
526,2776,2727,2777,1551,0,9.377519,23.907831,False
526,2777,2727,2778,1555,0,9.362509,23.806608,False
526,2778,2727,2779,1559,0,9.347499,23.705292,False
526,2779,2727,2780,1564,0,9.328736,23.57851,False
526,2780,2727,2781,1564,0,9.328736,23.57851,False
526,2781,2727,2782,1567,0,9.317478,23.502369,False
526,2782,2727,2783,1575,0,9.287458,23.299065,False
527,2762,2728,2763,1546,0,9.396281,24.034227,False
527,2763,2728,2764,1543,0,9.407538,24.109995,False
527,2764,2728,2765,1542,0,9.411291,24.135239,False
527,2765,2728,2766,1540,0,9.418797,24.185709,False
527,2766,2728,2767,1542,0,9.411291,24.135239,False
527,2767,2728,2768,1547,0,9.392529,24.00896,False
527,2768,2728,2769,1544,0,9.403787,24.084745,False
527,2769,2728,2770,1539,0,9.422549,24.210936,False
527,2770,2728,2771,1541,0,9.415044,24.160477,False
527,2771,2728,2772,1539,0,9.422549,24.210936,False
527,2772,2728,2773,1541,0,9.415044,24.160477,False
527,2773,2728,2774,1544,0,9.403787,24.084745,False
527,2774,2728,2775,1552,0,9.373766,23.882536,False
527,2775,2728,2776,1556,0,9.358756,23.781288,False
527,2776,2728,2777,1556,0,9.358756,23.781288,False
527,2777,2728,2778,1564,0,9.328736,23.57851,False
527,2778,2728,2779,1559,0,9.347499,23.705292,False
527,2779,2728,2780,1565,0,9.324984,23.553135,False
527,2780,2728,2781,1571,0,9.302468,23.400764,False
527,2781,2728,2782,1567,0,9.317478,23.502369,False
527,2782,2728,2783,1565,0,9.324984,23.553135,False
528,2762,2729,2763,1554,0,9.3662615,23.831924,False
528,2763,2729,2764,1543,0,9.407538,24.109995,False
528,2764,2729,2765,1542,0,9.411291,24.135239,False
528,2765,2729,2766,1545,0,9.400034,24.05949,False
528,2766,2729,2767,1549,0,9.385024,23.958408,False
528,2767,2729,2768,1541,0,9.415044,24.160477,False
528,2768,2729,2769,1543,0,9.407538,24.109995,False
528,2769,2729,2770,1543,0,9.407538,24.109995,False
528,2770,2729,2771,1540,0,9.418797,24.185709,False
528,2771,2729,2772,1543,0,9.407538,24.109995,False
528,2772,2729,2773,1549,0,9.385024,23.958408,False
528,2773,2729,2774,1546,0,9.396281,24.034227,False
528,2774,2729,2775,1552,0,9.373766,23.882536,False
528,2775,2729,2776,1555,0,9.362509,23.806608,False
528,2776,2729,2777,1560,0,9.343746,23.679947,False
528,2777,2729,2778,1565,0,9.324984,23.553135,False
528,2778,2729,2779,1559,0,9.347499,23.705292,False
528,2779,2729,2780,1562,0,9.336241,23.62924,False
528,2780,2729,2781,1563,0,9.332489,23.603878,False
528,2781,2729,2782,1564,0,9.328736,23.57851,False
528,2782,2729,2783,1566,0,9.321231,23.527756,False
529,2762,2730,2763,1559,0,9.347499,23.705292,False
529,2763,2730,2764,1550,0,9.381271,23.933123,False
529,2764,2730,2765,1550,0,9.381271,23.933123,False
529,2765,2730,2766,1554,0,9.3662615,23.831924,False
529,2766,2730,2767,1552,0,9.373766,23.882536,False
529,2767,2730,2768,1549,0,9.385024,23.958408,False
529,2768,2730,2769,1546,0,9.396281,24.034227,False
529,2769,2730,2770,1548,0,9.388776,23.983686,False
529,2770,2730,2771,1544,0,9.403787,24.084745,False
529,2771,2730,2772,1545,0,9.400034,24.05949,False
529,2772,2730,2773,1552,0,9.373766,23.882536,True
529,2773,2730,2774,1553,0,9.370013,23.857233,False
529,2774,2730,2775,1554,0,9.3662615,23.831924,False
529,2775,2730,2776,1560,0,9.343746,23.679947,False
529,2776,2730,2777,1562,0,9.336241,23.62924,False
529,2777,2730,2778,1568,0,9.313726,23.476978,False
529,2778,2730,2779,1561,0,9.3399935,23.654596,False
529,2779,2730,2780,1556,0,9.358756,23.781288,False
529,2780,2730,2781,1566,0,9.321231,23.527756,False
529,2781,2730,2782,1568,0,9.313726,23.476978,False
529,2782,2730,2783,1571,0,9.302468,23.400764,False
530,2762,2731,2763,1571,0,9.302468,23.400764,False
530,2763,2731,2764,1561,0,9.3399935,23.654596,False
530,2764,2731,2765,1557,0,9.355003,23.755962,False
530,2765,2731,2766,1564,0,9.328736,23.57851,False
530,2766,2731,2767,1570,0,9.306221,23.426176,False
530,2767,2731,2768,1567,0,9.317478,23.502369,False
530,2768,2731,2769,1567,0,9.317478,23.502369,False
530,2769,2731,2770,1556,0,9.358756,23.781288,False
530,2770,2731,2771,1556,0,9.358756,23.781288,False
530,2771,2731,2772,1551,0,9.377519,23.907831,False
530,2772,2731,2773,1559,0,9.347499,23.705292,False
530,2773,2731,2774,1558,0,9.351252,23.730629,False
530,2774,2731,2775,1557,0,9.355003,23.755962,False
530,2775,2731,2776,1560,0,9.343746,23.679947,False
530,2776,2731,2777,1563,0,9.332489,23.603878,False
530,2777,2731,2778,1571,0,9.302468,23.400764,False
530,2778,2731,2779,1568,0,9.313726,23.476978,False
530,2779,2731,2780,1558,0,9.351252,23.730629,False
530,2780,2731,2781,1559,0,9.347499,23.705292,False
530,2781,2731,2782,1565,0,9.324984,23.553135,False
530,2782,2731,2783,1563,0,9.332489,23.603878,False
531,2762,2732,2763,1571,0,9.302468,23.400764,False
531,2763,2732,2764,1564,0,9.328736,23.57851,False
531,2764,2732,2765,1567,0,9.317478,23.502369,False
531,2765,2732,2766,1563,0,9.332489,23.603878,False
531,2766,2732,2767,1572,0,9.298716,23.375349,False
531,2767,2732,2768,1590,0,9.231171,22.916832,False
531,2768,2732,2769,1601,0,9.189894,22.635658,False
531,2769,2732,2770,1572,0,9.298716,23.375349,False
531,2770,2732,2771,1567,0,9.317478,23.502369,False
531,2771,2732,2772,1561,0,9.3399935,23.654596,False
531,2772,2732,2773,1567,0,9.317478,23.502369,False
531,2773,2732,2774,1563,0,9.332489,23.603878,False
531,2774,2732,2775,1559,0,9.347499,23.705292,False
531,2775,2732,2776,1560,0,9.343746,23.679947,False
531,2776,2732,2777,1569,0,9.309974,23.45158,False
531,2777,2732,2778,1574,0,9.291211,23.3245,False
531,2778,2732,2779,1571,0,9.302468,23.400764,False
531,2779,2732,2780,1565,0,9.324984,23.553135,False
531,2780,2732,2781,1561,0,9.3399935,23.654596,False
531,2781,2732,2782,1562,0,9.336241,23.62924,False
531,2782,2732,2783,1560,0,9.343746,23.679947,False
532,2762,2733,2763,1573,0,9.294964,23.349928,False
532,2763,2733,2764,1576,0,9.283706,23.273624,False
532,2764,2733,2765,1576,0,9.283706,23.273624,False
532,2765,2733,2766,1572,0,9.298716,23.375349,False
532,2766,2733,2767,1581,0,9.264943,23.146336,False
532,2767,2733,2768,1604,0,9.178636,22.558847,False
532,2768,2733,2769,1645,0,9.024783,21.503506,False
532,2769,2733,2770,1640,0,9.043546,21.632767,False
532,2770,2733,2771,1597,0,9.204904,22.73799,False
532,2771,2733,2772,1578,0,9.276201,23.222727,False
532,2772,2733,2773,1579,0,9.272449,23.19727,False
532,2773,2733,2774,1580,0,9.268696,23.171804,False
532,2774,2733,2775,1565,0,9.324984,23.553135,False
532,2775,2733,2776,1568,0,9.313726,23.476978,False
532,2776,2733,2777,1574,0,9.291211,23.3245,False
532,2777,2733,2778,1571,0,9.302468,23.400764,False
532,2778,2733,2779,1573,0,9.294964,23.349928,False
532,2779,2733,2780,1579,0,9.272449,23.19727,False
532,2780,2733,2781,1570,0,9.306221,23.426176,False
532,2781,2733,2782,1561,0,9.3399935,23.654596,False
532,2782,2733,2783,1558,0,9.351252,23.730629,False
533,2762,2734,2763,1585,0,9.249933,23.044394,False
533,2763,2734,2764,1616,0,9.133606,22.251047,False
533,2764,2734,2765,1616,0,9.133606,22.251047,False
533,2765,2734,2766,1608,0,9.163626,22.456347,False
533,2766,2734,2767,1615,0,9.137359,22.276731,False
533,2767,2734,2768,1616,0,9.133606,22.251047,False
533,2768,2734,2769,1666,0,8.94598,20.958872,False
533,2769,2734,2770,1742,0,8.6607895,18.963873,False
533,2770,2734,2771,1750,0,8.63077,18.751633,False
533,2771,2734,2772,1679,0,8.897198,20.620304,False
533,2772,2734,2773,1606,0,9.171131,22.507608,False
533,2773,2734,2774,1611,0,9.152369,22.379406,False
533,2774,2734,2775,1589,0,9.234923,22.942356,False
533,2775,2734,2776,1584,0,9.253686,23.06989,False
533,2776,2734,2777,1577,0,9.279954,23.248178,False
533,2777,2734,2778,1563,0,9.332489,23.603878,False
533,2778,2734,2779,1569,0,9.309974,23.45158,False
533,2779,2734,2780,1576,0,9.283706,23.273624,False
533,2780,2734,2781,1571,0,9.302468,23.400764,False
533,2781,2734,2782,1564,0,9.328736,23.57851,False
533,2782,2734,2783,1564,0,9.328736,23.57851,False
534,2762,2735,2763,1599,0,9.197398,22.686836,False
534,2763,2735,2764,1588,0,9.238676,22.967875,False
534,2764,2735,2765,1591,0,9.227418,22.8913,False
534,2765,2735,2766,1615,0,9.137359,22.276731,False
534,2766,2735,2767,1644,0,9.028536,21.52937,False
534,2767,2735,2768,1621,0,9.114843,22.122536,False
534,2768,2735,2769,1608,0,9.163626,22.456347,False
