file_date,trade_date,cutoff_utc,entry_time_utc,entry_time_stockholm,side,bucket_label,actual_tmax_f,model_p_bucket,model_p_win,market_prob_side,edge,yes_price_c,no_price_c,entry_price_c,stake,shares,win,pnl,balance_after,note
2025-12-11,2025-12-10,2025-12-10 18:00:00+00:00,2025-12-10 18:00:00+00:00,2025-12-10 19:00:00+01:00,YES,42°F or higher,47,0.9999999999999994,0.9999999999999994,0.37,0.6299999999999994,37.0,63.0,37.0,1374901.0448358513,3715948.769826625,True,2341047.724990774,36713573.84588705,trade
2025-12-12,2025-12-11,2025-12-11 18:00:00+00:00,2025-12-11 18:00:00+00:00,2025-12-11 19:00:00+01:00,YES,39-40°F,41,0.6531443547182072,0.6531443547182072,0.07200000000000001,0.5811443547182071,7.2,92.8,7.2,1468542.953835482,20396429.914381694,False,-1468542.953835482,35245030.89205157,trade
2025-12-13,2025-12-12,2025-12-12 18:00:00+00:00,2025-12-12 18:00:00+00:00,2025-12-12 19:00:00+01:00,NO,40-41°F,36,0.0386823884186221,0.9613176115813779,0.6,0.3613176115813779,40.0,60.0,60.0,1409801.2356820628,2349668.7261367715,True,939867.4904547087,36184898.38250628,trade
2025-12-14,2025-12-13,2025-12-13 18:00:00+00:00,2025-12-13 18:00:00+00:00,2025-12-13 19:00:00+01:00,YES,38°F or higher,41,1.0,1.0,0.135,0.865,13.5,86.5,13.5,1447395.9353002512,10721451.372594453,True,9274055.437294202,45458953.81980048,trade
2025-12-15,2025-12-14,2025-12-14 18:00:00+00:00,2025-12-14 18:00:00+00:00,2025-12-14 19:00:00+01:00,YES,34°F or higher,34,0.9999999999999998,0.9999999999999998,0.03,0.9699999999999998,3.0,97.0,3.0,1818358.1527920193,60611938.42640065,True,58793580.273608625,104252534.0934091,trade
2025-12-16,2025-12-15,2025-12-15 18:00:00+00:00,2025-12-15 18:00:00+00:00,2025-12-15 19:00:00+01:00,YES,33°F or below,30,0.810230601969827,0.810230601969827,0.31,0.500230601969827,31.0,69.0,31.0,4170101.3637363645,13451939.883020531,True,9281838.519284166,113534372.61269328,trade
2025-12-17,2025-12-16,2025-12-16 18:00:00+00:00,2025-12-16 18:00:00+00:00,2025-12-16 19:00:00+01:00,YES,37°F or below,33,0.9669765251534104,0.9669765251534104,0.044500000000000005,0.9224765251534104,4.45,95.55,4.45,4541374.904507731,102053368.64062315,True,97511993.73611543,211046366.3488087,trade
2025-12-18,2025-12-17,2025-12-17 18:00:00+00:00,2025-12-17 18:00:00+00:00,2025-12-17 19:00:00+01:00,NO,50°F or higher,48,0.06059366079973671,0.9394063392002633,0.38,0.5594063392002633,62.0,38.0,38.0,8441854.653952349,22215406.984085128,True,13773552.330132779,224819918.6789415,trade
2025-12-19,2025-12-18,2025-12-18 18:00:00+00:00,2025-12-18 18:00:00+00:00,2025-12-18 19:00:00+01:00,NO,56-57°F,51,0.02210422577838872,0.9778957742216112,0.565,0.4128957742216113,43.5,56.5,56.5,8992796.74715766,15916454.419748072,True,6923657.672590412,231743576.3515319,trade
2025-12-20,2025-12-19,2025-12-19 18:00:00+00:00,2025-12-19 22:31:00+00:00,2025-12-19 23:31:00+01:00,NO,36-37°F,58,0.0,1.0,0.84,0.16000000000000003,16.0,84.0,84.0,9269743.054061277,11035408.397691997,True,1765665.34363072,233509241.69516262,trade
2025-12-21,2025-12-20,2025-12-20 18:00:00+00:00,2025-12-20 18:00:00+00:00,2025-12-20 19:00:00+01:00,NO,46-47°F,38,0.031258145775002896,0.9687418542249971,0.59,0.3787418542249972,41.0,59.0,59.0,9340369.667806504,15831135.030180516,True,6490765.362374012,240000007.05753663,trade
2025-12-22,2025-12-21,2025-12-21 18:00:00+00:00,2025-12-21 18:00:00+00:00,2025-12-21 19:00:00+01:00,YES,42°F or higher,47,0.9999999999999997,0.9999999999999997,0.105,0.8949999999999997,10.5,89.5,10.5,9600000.282301465,91428574.11715682,True,81828573.83485535,321828580.892392,trade
2025-12-23,2025-12-22,2025-12-22 18:00:00+00:00,2025-12-22 23:01:00+00:00,2025-12-23 00:01:00+01:00,NO,44°F or higher,40,0.04270826597136137,0.9572917340286387,0.8029999999999999,0.15429173402863872,19.7,80.3,80.3,12873143.235695679,16031311.626022017,True,3158168.3903263384,324986749.2827183,trade
2025-12-24,2025-12-23,2025-12-23 18:00:00+00:00,2025-12-23 18:00:00+00:00,2025-12-23 19:00:00+01:00,NO,44-45°F,41,0.21362063151772137,0.7863793684822786,0.45,0.3363793684822786,55.0,45.0,45.0,12999469.971308732,28887711.04735274,True,15888241.076044008,340874990.3587623,trade
2025-12-25,2025-12-24,2025-12-24 18:00:00+00:00,2025-12-24 18:00:00+00:00,2025-12-24 19:00:00+01:00,YES,44°F or higher,46,1.0000000000000002,1.0000000000000002,0.845,0.15500000000000025,84.5,15.5,84.5,13634999.614350494,16136094.218166266,True,2501094.6038157716,343376084.9625781,trade
2025-12-26,2025-12-25,2025-12-25 18:00:00+00:00,2025-12-25 18:00:00+00:00,2025-12-25 19:00:00+01:00,YES,34°F or higher,48,1.0000000000000007,1.0000000000000007,0.08,0.9200000000000007,8.0,92.0,8.0,13735043.398503125,171688042.48128906,True,157952999.08278593,501329084.045364,trade
2025-12-27,2025-12-26,2025-12-26 18:00:00+00:00,2025-12-26 18:00:00+00:00,2025-12-26 19:00:00+01:00,NO,32-33°F,28,0.08166827323320322,0.9183317267667968,0.49,0.42833172676679676,51.0,49.0,49.0,20053163.361814562,40924823.187376656,True,20871659.825562093,522200743.87092614,trade
2025-12-28,2025-12-27,2025-12-27 18:00:00+00:00,2025-12-27 18:00:00+00:00,2025-12-27 19:00:00+01:00,YES,30-31°F,31,0.66584028557956,0.66584028557956,0.0025,0.66334028557956,0.25,99.75,0.25,20888029.754837047,8355211901.934819,True,8334323872.179982,8856524616.050909,trade
2025-12-29,2025-12-28,2025-12-28 18:00:00+00:00,2025-12-28 18:00:00+00:00,2025-12-28 19:00:00+01:00,YES,37°F or below,37,0.8942130034477211,0.8942130034477211,0.004,0.8902130034477211,0.4,99.6,0.4,354260984.6420364,88565246160.5091,True,88210985175.86705,97067509791.91795,trade
2025-12-30,2025-12-29,2025-12-29 18:00:00+00:00,2025-12-29 18:00:00+00:00,2025-12-29 19:00:00+01:00,YES,38°F or higher,50,0.9999999999999993,0.9999999999999993,0.04650000000000001,0.9534999999999993,4.65,95.35,4.65,3882700391.676718,83498933154.33801,True,79616232762.6613,176683742554.57925,trade
2025-12-31,2025-12-30,2025-12-30 18:00:00+00:00,2025-12-30 18:00:00+00:00,2025-12-30 19:00:00+01:00,NO,32-33°F,33,0.25161838041839246,0.7483816195816075,0.49,0.25838161958160755,51.0,49.0,49.0,7067349702.18317,14423162657.516674,False,-7067349702.18317,169616392852.3961,trade
