method,family,split,row_count,rps,rps_delta_vs_b4,relative_rps_gain_vs_b4,nll,brier,crps,ece,mce,entropy
K0_B4_identity,calibration,fold2__t_minus_1_1800_hkt,967,0.04287209234477702,,,1.048469986348915,0.04641680590004426,0.4287209234477703,0.013393280347267587,0.21375334952254682,1.0435634966460867
K2_B4_monotone_cdf_projected,calibration,fold2__t_minus_1_1800_hkt,967,0.04287209234477703,,,1.048469986348915,0.04641680590004426,0.4287209234477703,0.013393280347267522,0.21375334952254682,1.0435634966460878
K1_B4_power_calibrated,calibration,fold2__t_minus_1_1800_hkt,967,0.04290849007371099,,,1.0487117039732912,0.046421065685237115,0.4290849007371099,0.016256943395537335,0.3719648511254482,1.0628625838349297
K0_B4_identity,calibration,fold3__t_minus_1_1800_hkt,994,0.0443328008040398,,,1.107909651081508,0.04880541036454988,0.443328008040398,0.03295894975961636,0.08058059750226276,1.0880637497620096
K2_B4_monotone_cdf_projected,calibration,fold3__t_minus_1_1800_hkt,994,0.0443328008040398,,,1.1079096510815083,0.04880541036454988,0.443328008040398,0.032958949759616385,0.08058059750226276,1.0880637497620105
K1_B4_power_calibrated,calibration,fold3__t_minus_1_1800_hkt,994,0.044358694381271435,,,1.1074453382744838,0.048794541204596524,0.4435869438127144,0.03508686945352591,0.2633318445495342,1.1089887832346013
K0_B4_identity,calibration,fold4__t_minus_1_1800_hkt,678,0.046153517785413885,,,1.1573931515036335,0.0510675032252289,0.4615351778541388,0.027213254187086672,0.12596379923490997,1.1138918249447218
K2_B4_monotone_cdf_projected,calibration,fold4__t_minus_1_1800_hkt,678,0.046153517785413885,,,1.1573931515036338,0.0510675032252289,0.4615351778541388,0.02721325418708662,0.12596379923490997,1.1138918249447225
K1_B4_power_calibrated,calibration,fold4__t_minus_1_1800_hkt,678,0.04618439290084606,,,1.1557728264372071,0.051040632291096955,0.46184392900846066,0.03064679639293101,0.2385407987632936,1.13587295690592
K0_B4_identity,calibration,presealed_2022_2023__t_minus_1_1800_hkt,663,0.04376248929915038,,,1.0749595473405922,0.048210126646004464,0.43762489299150376,0.023413553213291458,0.19612449139470556,1.0721871958874816
K2_B4_monotone_cdf_projected,calibration,presealed_2022_2023__t_minus_1_1800_hkt,663,0.04376248929915038,,,1.0749595473405922,0.048210126646004464,0.43762489299150376,0.023413553213291464,0.19612449139470556,1.0721871958874825
K1_B4_power_calibrated,calibration,presealed_2022_2023__t_minus_1_1800_hkt,663,0.04378904520118371,,,1.0753420009076387,0.04819450884274169,0.437890452011837,0.018492355272484964,0.20211781327794986,1.0928372890293603
K1_B4_power_calibrated,calibration,sealed_2024_2026_05__t_minus_1_1800_hkt,764,0.045894600008046585,,,1.124927813614462,0.05010899355453584,0.4589460000804658,0.02617138953594359,0.15104096096842157,1.1227073043145013
K0_B4_identity,calibration,sealed_2024_2026_05__t_minus_1_1800_hkt,764,0.04591581620036678,,,1.1255614749868363,0.05016681268798818,0.4591581620036677,0.026883131102131648,0.15022724668718124,1.1028829653455405
K2_B4_monotone_cdf_projected,calibration,sealed_2024_2026_05__t_minus_1_1800_hkt,764,0.04591581620036678,,,1.1255614749868363,0.05016681268798818,0.4591581620036678,0.026883131102131697,0.15022724668718135,1.1028829653455412
K1_B4_power_calibrated,calibration,fold1__t_minus_1_2100_hkt,991,0.0443555169638275,,,1.0801459085892244,0.04701171255126072,0.44355516963827507,0.020664143876060113,0.11396607317980467,1.0627803259737638
K0_B4_identity,calibration,fold1__t_minus_1_2100_hkt,991,0.044377732807853336,,,1.0815467538994947,0.04702696731103823,0.4437773280785333,0.02158465776944007,0.17145668788582064,1.0441080210363285
K2_B4_monotone_cdf_projected,calibration,fold1__t_minus_1_2100_hkt,991,0.044377732807853336,,,1.0815467538994954,0.04702696731103823,0.4437773280785333,0.021584657769440112,0.17145668788582064,1.0441080210363298
K0_B4_identity,calibration,fold2__t_minus_1_2100_hkt,977,0.042607027025613635,,,1.046365724221239,0.04632642064309743,0.4260702702561363,0.022250353058383306,0.23477692359019908,1.037185712659942
