split,method,baseline_method,row_count,mean_delta_rps,p05_delta_rps,p50_delta_rps,p95_delta_rps
fold2,P1_normal_mos,B4_hierarchical_residual_pmf,1095,0.00029725073555523086,-0.0001615458844639962,0.00032208008837609006,0.0006913522749299431
fold2,P2_student_t_mos,B4_hierarchical_residual_pmf,1095,0.0004172491839254484,-1.6621996639688535e-06,0.00042207475121794347,0.0007882602482514
fold2,S1_conservative_simplex_stack,B4_hierarchical_residual_pmf,1095,6.231179486017688e-06,-4.49137691337885e-05,8.300569390117668e-06,5.2869289317037035e-05
fold3,B0_climatology,B4_hierarchical_residual_pmf,1095,0.1502080821448373,0.14505023663995945,0.15032279773549723,0.15504356124607405
fold3,B1_global_residual_pmf,B4_hierarchical_residual_pmf,1095,-2.487788432289781e-05,-0.0004151496699204376,-3.669604974677887e-05,0.00036567719339203775
fold3,B2_month_residual_pmf,B4_hierarchical_residual_pmf,1095,3.496772334504239e-05,-0.0002742536244373955,4.080163959389177e-05,0.0003208235089008429
fold3,B3_forecast_level_residual_pmf,B4_hierarchical_residual_pmf,1095,-5.808186548706462e-06,-0.00029983710094718676,-6.657629293263523e-06,0.0003009215305219567
fold3,B4_hierarchical_residual_pmf,B4_hierarchical_residual_pmf,1095,0.0,0.0,0.0,0.0
fold3,B5_kernel_analog_pmf,B4_hierarchical_residual_pmf,1095,-0.0002598636869333115,-0.0005532762643445561,-0.00026477599473847743,1.4536957067931564e-05
fold3,B6_month_climatology_diagnostic,B4_hierarchical_residual_pmf,1095,0.04494758875141015,0.04121762987457308,0.04494235889733576,0.04918674713692999
fold3,C1_multinomial_ridge,B4_hierarchical_residual_pmf,1095,0.0011609433630662377,0.0005041408106480565,0.0011589627240254814,0.001826921186389901
fold3,C2_ordinal_cdf_logistic,B4_hierarchical_residual_pmf,1095,0.0018201741352888413,0.0009940680549348642,0.0018124350590107176,0.0025995042681732873
fold3,K0_B4_identity,B4_hierarchical_residual_pmf,1095,0.0,0.0,0.0,0.0
fold3,K1_B4_power_calibrated,B4_hierarchical_residual_pmf,1095,2.8495560665590947e-05,-2.0552229996004256e-05,2.9537904240411333e-05,7.822824690337272e-05
fold3,K2_B4_monotone_cdf_projected,B4_hierarchical_residual_pmf,1095,3.885780586188048e-19,0.0,0.0,6.938893903907228e-18
fold3,P1_normal_mos,B4_hierarchical_residual_pmf,1095,8.258072284343422e-05,-0.00032327789660130114,8.35934605546429e-05,0.0004769657945675118
fold3,P2_student_t_mos,B4_hierarchical_residual_pmf,1095,0.00019329942789607653,-0.0002456492762938706,0.00018840766066485076,0.00060992638728015
fold3,S1_conservative_simplex_stack,B4_hierarchical_residual_pmf,1095,-8.186815290748645e-05,-0.0001295817650895717,-8.215686150633145e-05,-3.755571789461486e-05
fold4,B0_climatology,B4_hierarchical_residual_pmf,731,0.16238206371410047,0.15497628519158885,0.16248026408805225,0.16935241041304575
fold4,B1_global_residual_pmf,B4_hierarchical_residual_pmf,731,0.0002640699311345834,-0.0002178837525162118,0.0002631433698205947,0.0007696496119118725
