split,feature,missing_pct,non_null_count
rolling_valid_2017_2019,forecast_revision_missing_prev_flag,29.315068493150687,3096
rolling_valid_2020_2021,forecast_revision_missing_prev_flag,28.59097127222982,2088
sealed_confirmation_2024_plus,forecast_revision_missing_prev_flag,31.604308390022677,2413
train_base_2000_2010,forecast_revision_missing_prev_flag,33.78142892706,10640
presealed_holdout_2022_2023,forecast_single_issue_flag,29.45205479452055,2060
rolling_valid_2011_2013,forecast_single_issue_flag,29.949817518248175,3071
rolling_valid_2014_2016,forecast_single_issue_flag,30.67974452554745,3039
rolling_valid_2017_2019,forecast_single_issue_flag,29.315068493150687,3096
rolling_valid_2020_2021,forecast_single_issue_flag,28.59097127222982,2088
sealed_confirmation_2024_plus,forecast_single_issue_flag,31.604308390022677,2413
train_base_2000_2010,forecast_single_issue_flag,33.78142892706,10640
presealed_holdout_2022_2023,hko_afternoon_warmup_09_to_15_c,0.0,2920
rolling_valid_2011_2013,hko_afternoon_warmup_09_to_15_c,0.0,4384
rolling_valid_2014_2016,hko_afternoon_warmup_09_to_15_c,0.09124087591240876,4380
rolling_valid_2017_2019,hko_afternoon_warmup_09_to_15_c,0.0,4380
rolling_valid_2020_2021,hko_afternoon_warmup_09_to_15_c,0.27359781121751026,2916
sealed_confirmation_2024_plus,hko_afternoon_warmup_09_to_15_c,0.0,3528
train_base_2000_2010,hko_afternoon_warmup_09_to_15_c,0.024894199651481205,16064
presealed_holdout_2022_2023,hko_afternoon_warmup_09_to_15_c_missing_flag,0.0,2920
rolling_valid_2011_2013,hko_afternoon_warmup_09_to_15_c_missing_flag,0.0,4384
rolling_valid_2014_2016,hko_afternoon_warmup_09_to_15_c_missing_flag,0.0,4384
rolling_valid_2017_2019,hko_afternoon_warmup_09_to_15_c_missing_flag,0.0,4380
rolling_valid_2020_2021,hko_afternoon_warmup_09_to_15_c_missing_flag,0.0,2924
sealed_confirmation_2024_plus,hko_afternoon_warmup_09_to_15_c_missing_flag,0.0,3528
train_base_2000_2010,hko_afternoon_warmup_09_to_15_c_missing_flag,0.0,16068
presealed_holdout_2022_2023,hko_dewpoint_missing_flag,0.0,2920
rolling_valid_2011_2013,hko_dewpoint_missing_flag,0.0,4384
rolling_valid_2014_2016,hko_dewpoint_missing_flag,0.0,4384
rolling_valid_2017_2019,hko_dewpoint_missing_flag,0.0,4380
rolling_valid_2020_2021,hko_dewpoint_missing_flag,0.0,2924
sealed_confirmation_2024_plus,hko_dewpoint_missing_flag,0.0,3528
train_base_2000_2010,hko_dewpoint_missing_flag,0.0,16068
presealed_holdout_2022_2023,hko_dispatch_count_24h,0.0,2920
rolling_valid_2011_2013,hko_dispatch_count_24h,0.0,4384
rolling_valid_2014_2016,hko_dispatch_count_24h,0.0,4384
rolling_valid_2017_2019,hko_dispatch_count_24h,0.0,4380
rolling_valid_2020_2021,hko_dispatch_count_24h,0.0,2924
sealed_confirmation_2024_plus,hko_dispatch_count_24h,0.0,3528
train_base_2000_2010,hko_dispatch_count_24h,0.0,16068
presealed_holdout_2022_2023,hko_evening_cooling_18_to_cutoff_c,50.0,1460
rolling_valid_2011_2013,hko_evening_cooling_18_to_cutoff_c,50.022810218978094,2191
rolling_valid_2014_2016,hko_evening_cooling_18_to_cutoff_c,50.04562043795621,2190
rolling_valid_2017_2019,hko_evening_cooling_18_to_cutoff_c,50.0,2190
rolling_valid_2020_2021,hko_evening_cooling_18_to_cutoff_c,50.13679890560876,1458
sealed_confirmation_2024_plus,hko_evening_cooling_18_to_cutoff_c,50.0,1764
train_base_2000_2010,hko_evening_cooling_18_to_cutoff_c,50.031117749564345,8029
presealed_holdout_2022_2023,hko_evening_cooling_18_to_cutoff_c_missing_flag,0.0,2920
rolling_valid_2011_2013,hko_evening_cooling_18_to_cutoff_c_missing_flag,0.0,4384
rolling_valid_2014_2016,hko_evening_cooling_18_to_cutoff_c_missing_flag,0.0,4384
rolling_valid_2017_2019,hko_evening_cooling_18_to_cutoff_c_missing_flag,0.0,4380
rolling_valid_2020_2021,hko_evening_cooling_18_to_cutoff_c_missing_flag,0.0,2924
sealed_confirmation_2024_plus,hko_evening_cooling_18_to_cutoff_c_missing_flag,0.0,3528
train_base_2000_2010,hko_evening_cooling_18_to_cutoff_c_missing_flag,0.0,16068
presealed_holdout_2022_2023,hko_evening_temp_minus_official_min_c,52.157534246575345,1397
rolling_valid_2011_2013,hko_evening_temp_minus_official_min_c,52.41788321167883,2086
rolling_valid_2014_2016,hko_evening_temp_minus_official_min_c,52.737226277372265,2072
rolling_valid_2017_2019,hko_evening_temp_minus_official_min_c,52.00913242009132,2102
rolling_valid_2020_2021,hko_evening_temp_minus_official_min_c,51.91518467852257,1406
sealed_confirmation_2024_plus,hko_evening_temp_minus_official_min_c,53.25963718820862,1649
train_base_2000_2010,hko_evening_temp_minus_official_min_c,54.22579039083894,7355
presealed_holdout_2022_2023,hko_latest_age_gt_90min_flag,0.0,2920
rolling_valid_2011_2013,hko_latest_age_gt_90min_flag,0.0,4384
rolling_valid_2014_2016,hko_latest_age_gt_90min_flag,0.0,4384
rolling_valid_2017_2019,hko_latest_age_gt_90min_flag,0.0,4380
rolling_valid_2020_2021,hko_latest_age_gt_90min_flag,0.0,2924
sealed_confirmation_2024_plus,hko_latest_age_gt_90min_flag,0.0,3528
train_base_2000_2010,hko_latest_age_gt_90min_flag,0.0,16068
presealed_holdout_2022_2023,hko_latest_age_minutes,0.0,2920
rolling_valid_2011_2013,hko_latest_age_minutes,0.0,4384
rolling_valid_2014_2016,hko_latest_age_minutes,0.0,4384
rolling_valid_2017_2019,hko_latest_age_minutes,0.0,4380
rolling_valid_2020_2021,hko_latest_age_minutes,0.0,2924
sealed_confirmation_2024_plus,hko_latest_age_minutes,0.0,3528
train_base_2000_2010,hko_latest_age_minutes,0.0,16068
presealed_holdout_2022_2023,hko_latest_dewpoint_c,0.0,2920
rolling_valid_2011_2013,hko_latest_dewpoint_c,0.0,4384
rolling_valid_2014_2016,hko_latest_dewpoint_c,0.0,4384
rolling_valid_2017_2019,hko_latest_dewpoint_c,0.0,4380
rolling_valid_2020_2021,hko_latest_dewpoint_c,0.0,2924
sealed_confirmation_2024_plus,hko_latest_dewpoint_c,0.0,3528
train_base_2000_2010,hko_latest_dewpoint_c,0.0,16068
presealed_holdout_2022_2023,hko_latest_dewpoint_depression_c,0.0,2920
rolling_valid_2011_2013,hko_latest_dewpoint_depression_c,0.0,4384
rolling_valid_2014_2016,hko_latest_dewpoint_depression_c,0.0,4384
rolling_valid_2017_2019,hko_latest_dewpoint_depression_c,0.0,4380
rolling_valid_2020_2021,hko_latest_dewpoint_depression_c,0.0,2924
sealed_confirmation_2024_plus,hko_latest_dewpoint_depression_c,0.0,3528
train_base_2000_2010,hko_latest_dewpoint_depression_c,0.0,16068
presealed_holdout_2022_2023,hko_latest_observation_hour_hkt,0.0,2920
rolling_valid_2011_2013,hko_latest_observation_hour_hkt,0.0,4384
rolling_valid_2014_2016,hko_latest_observation_hour_hkt,0.0,4384
rolling_valid_2017_2019,hko_latest_observation_hour_hkt,0.0,4380
rolling_valid_2020_2021,hko_latest_observation_hour_hkt,0.0,2924
sealed_confirmation_2024_plus,hko_latest_observation_hour_hkt,0.0,3528
train_base_2000_2010,hko_latest_observation_hour_hkt,0.0,16068
presealed_holdout_2022_2023,hko_latest_rh_pct,0.0,2920
rolling_valid_2011_2013,hko_latest_rh_pct,0.0,4384
rolling_valid_2014_2016,hko_latest_rh_pct,0.0,4384
rolling_valid_2017_2019,hko_latest_rh_pct,0.0,4380
rolling_valid_2020_2021,hko_latest_rh_pct,0.0,2924
sealed_confirmation_2024_plus,hko_latest_rh_pct,0.0,3528
train_base_2000_2010,hko_latest_rh_pct,0.0,16068
presealed_holdout_2022_2023,hko_latest_temp_c,0.0,2920
rolling_valid_2011_2013,hko_latest_temp_c,0.0,4384
rolling_valid_2014_2016,hko_latest_temp_c,0.0,4384
rolling_valid_2017_2019,hko_latest_temp_c,0.0,4380
rolling_valid_2020_2021,hko_latest_temp_c,0.0,2924
sealed_confirmation_2024_plus,hko_latest_temp_c,0.0,3528
train_base_2000_2010,hko_latest_temp_c,0.0,16068
presealed_holdout_2022_2023,hko_latest_temp_minus_doy_hour_clim_c,0.0,2920
rolling_valid_2011_2013,hko_latest_temp_minus_doy_hour_clim_c,0.0,4384
rolling_valid_2014_2016,hko_latest_temp_minus_doy_hour_clim_c,0.0,4384
rolling_valid_2017_2019,hko_latest_temp_minus_doy_hour_clim_c,0.0,4380
rolling_valid_2020_2021,hko_latest_temp_minus_doy_hour_clim_c,0.0,2924
sealed_confirmation_2024_plus,hko_latest_temp_minus_doy_hour_clim_c,0.0,3528
train_base_2000_2010,hko_latest_temp_minus_doy_hour_clim_c,0.0,16068
presealed_holdout_2022_2023,hko_latest_temp_minus_official_max_c,29.45205479452055,2060
rolling_valid_2011_2013,hko_latest_temp_minus_official_max_c,29.949817518248175,3071
rolling_valid_2014_2016,hko_latest_temp_minus_official_max_c,30.67974452554745,3039
rolling_valid_2017_2019,hko_latest_temp_minus_official_max_c,29.315068493150687,3096
rolling_valid_2020_2021,hko_latest_temp_minus_official_max_c,28.59097127222982,2088
sealed_confirmation_2024_plus,hko_latest_temp_minus_official_max_c,31.604308390022677,2413
train_base_2000_2010,hko_latest_temp_minus_official_max_c,33.78142892706,10640
presealed_holdout_2022_2023,hko_latest_temp_minus_official_min_c,29.45205479452055,2060
rolling_valid_2011_2013,hko_latest_temp_minus_official_min_c,29.949817518248175,3071
rolling_valid_2014_2016,hko_latest_temp_minus_official_min_c,30.67974452554745,3039
rolling_valid_2017_2019,hko_latest_temp_minus_official_min_c,29.315068493150687,3096
rolling_valid_2020_2021,hko_latest_temp_minus_official_min_c,28.59097127222982,2088
sealed_confirmation_2024_plus,hko_latest_temp_minus_official_min_c,31.604308390022677,2413
train_base_2000_2010,hko_latest_temp_minus_official_min_c,33.78142892706,10640
presealed_holdout_2022_2023,hko_partial_parse_count_24h,0.0,2920
rolling_valid_2011_2013,hko_partial_parse_count_24h,0.0,4384
rolling_valid_2014_2016,hko_partial_parse_count_24h,0.0,4384
rolling_valid_2017_2019,hko_partial_parse_count_24h,0.0,4380
rolling_valid_2020_2021,hko_partial_parse_count_24h,0.0,2924
sealed_confirmation_2024_plus,hko_partial_parse_count_24h,0.0,3528
train_base_2000_2010,hko_partial_parse_count_24h,0.0,16068
presealed_holdout_2022_2023,hko_pre_target_afternoon_max_minus_official_max_c,29.45205479452055,2060
rolling_valid_2011_2013,hko_pre_target_afternoon_max_minus_official_max_c,29.949817518248175,3071
rolling_valid_2014_2016,hko_pre_target_afternoon_max_minus_official_max_c,30.67974452554745,3039
rolling_valid_2017_2019,hko_pre_target_afternoon_max_minus_official_max_c,29.315068493150687,3096
rolling_valid_2020_2021,hko_pre_target_afternoon_max_minus_official_max_c,28.796169630642954,2082
sealed_confirmation_2024_plus,hko_pre_target_afternoon_max_minus_official_max_c,31.604308390022677,2413
train_base_2000_2010,hko_pre_target_afternoon_max_minus_official_max_c,33.78142892706,10640
presealed_holdout_2022_2023,hko_pre_target_afternoon_max_sofar_c,0.0,2920
rolling_valid_2011_2013,hko_pre_target_afternoon_max_sofar_c,0.02281021897810219,4383
rolling_valid_2014_2016,hko_pre_target_afternoon_max_sofar_c,0.09124087591240876,4380
rolling_valid_2017_2019,hko_pre_target_afternoon_max_sofar_c,0.045662100456621,4378
rolling_valid_2020_2021,hko_pre_target_afternoon_max_sofar_c,0.27359781121751026,2916
sealed_confirmation_2024_plus,hko_pre_target_afternoon_max_sofar_c,0.0,3528
train_base_2000_2010,hko_pre_target_afternoon_max_sofar_c,0.05601194921583271,16059
presealed_holdout_2022_2023,hko_pre_target_afternoon_max_sofar_c_missing_flag,0.0,2920
rolling_valid_2011_2013,hko_pre_target_afternoon_max_sofar_c_missing_flag,0.0,4384
rolling_valid_2014_2016,hko_pre_target_afternoon_max_sofar_c_missing_flag,0.0,4384
