source,cycle,lead,object_length,selected_range_count,selected_bytes,single_span_bytes,merged_count_gap_0,merged_bytes_gap_0,merged_count_gap_64000,merged_bytes_gap_64000,merged_count_gap_256000,merged_bytes_gap_256000,merged_count_gap_1000000,merged_bytes_gap_1000000,merged_count_gap_5000000,merged_bytes_gap_5000000,merged_count_gap_25000000,merged_bytes_gap_25000000
gfs,0,0,510678643,11,8281915,435425085,7,8281915,7,8281915,7,8281915,6,8846266,4,13834311,2,24374716
gfs,0,3,544255811,17,11748735,466601940,9,11748735,9,11748735,9,11748735,8,12308852,6,16634074,2,52817442
gfs,0,6,547884360,17,12007908,470003734,9,12007908,9,12007908,9,12007908,8,12569571,6,17065224,2,54788414
gfs,0,9,543555485,17,11871342,466320123,9,11871342,9,11871342,9,11871342,8,12437568,6,16838093,2,53232811
gfs,0,12,543342577,17,12133634,466101476,9,12133634,9,12133634,9,12133634,8,12699946,6,17244790,2,54658402
gfs,0,15,546839696,17,11979461,469797336,9,11979461,9,11979461,9,11979461,8,12552496,6,17065524,2,53716027
gfs,0,18,548899783,17,12240474,471346886,9,12240474,9,12240474,9,12240474,8,12811369,6,17533590,2,55243621
gfs,0,21,545943802,17,12031048,468524382,9,12031048,9,12031048,9,12031048,8,12595211,6,17058668,2,53603448
gfs,0,24,543057636,17,12222033,465761140,9,12222033,9,12222033,9,12222033,8,12785131,6,17293134,2,54871656
gfs,0,27,541957062,17,12020519,464904771,9,12020519,9,12020519,9,12020519,8,12580989,6,17191882,2,53739742
gfs,0,30,543062616,17,12219356,466514775,9,12219356,9,12219356,9,12219356,8,12778813,6,17237712,2,54944300
gfs,0,33,540637942,17,12028871,464790451,9,12028871,9,12028871,9,12028871,8,12593864,6,16989491,2,54020807
gfs,0,36,542652439,17,12276830,466485066,9,12276830,9,12276830,9,12276830,8,12845710,6,17477432,2,55321444
gfs,0,39,542041497,17,12148873,466066892,9,12148873,9,12148873,9,12148873,8,12720833,6,17131091,2,53960436
gfs,0,42,548768995,17,12384055,471957901,9,12384055,9,12384055,9,12384055,8,12954740,6,17439762,2,55436455
gfs,0,45,548780571,17,12155039,472339243,9,12155039,9,12155039,9,12155039,8,12724824,6,17274420,2,54063551
gfs,0,48,546024167,17,12330641,469656793,9,12330641,9,12330641,9,12330641,8,12890825,6,17405880,2,55166389
gfs,6,0,511242398,11,8390093,436243734,7,8390093,7,8390093,7,8390093,6,8950838,4,13927755,2,24901485
gfs,6,3,542661027,17,11758479,465210564,9,11758479,9,11758479,9,11758479,8,12323206,6,16742431,2,53085002
gfs,6,6,544840562,17,12073595,467613065,9,12073595,9,12073595,9,12073595,8,12639702,6,17208927,2,54569665
gfs,6,9,546414304,17,11944821,469276497,9,11944821,9,11944821,9,11944821,8,12516602,6,16950967,2,53508429
gfs,6,12,549631798,17,12210448,472043527,9,12210448,9,12210448,9,12210448,8,12780669,6,17491610,2,55203489
gfs,6,15,546690181,17,11989355,469202995,9,11989355,9,11989355,9,11989355,8,12558143,6,17102796,2,53633651
gfs,6,18,541862988,17,12168228,464465003,9,12168228,9,12168228,9,12168228,8,12727528,6,17425092,2,54986493
gfs,6,21,542137342,17,11990666,464942317,9,11990666,9,11990666,9,11990666,8,12550102,6,17009057,2,53452469
gfs,6,24,546526890,17,12209466,469630736,9,12209466,9,12209466,9,12209466,8,12768999,6,17325979,2,55343137
gfs,6,27,543232194,17,12040266,467266947,9,12040266,9,12040266,9,12040266,8,12606625,6,17083878,2,54148602
gfs,6,30,541049929,17,12245957,464859574,9,12245957,9,12245957,9,12245957,8,12814563,6,17364955,2,55219492
gfs,6,33,543565071,17,12100059,467428056,9,12100059,9,12100059,9,12100059,8,12672651,6,17009636,2,53776411
gfs,6,36,547338516,17,12337103,470727968,9,12337103,9,12337103,9,12337103,8,12908225,6,17397262,2,55336609
gfs,6,39,546485007,17,12136613,470113789,9,12136613,9,12136613,9,12136613,8,12702875,6,17081003,2,53859664
gfs,6,42,540854412,17,12299272,465268653,9,12299272,9,12299272,9,12299272,8,12860514,5,22044124,2,54253992
gfs,6,45,539528503,17,12089902,463888437,9,12089902,9,12089902,9,12089902,8,12652982,5,21853207,2,52488212
gfs,6,48,536020456,17,12260748,463077086,9,12260748,9,12260748,9,12260748,8,12820796,5,22068447,2,54199104
gfs,12,0,508237381,11,8439532,433874064,7,8439532,7,8439532,7,8439532,6,9004924,4,14011628,2,24528035
gfs,12,3,544598537,17,11853330,467455121,9,11853330,9,11853330,9,11853330,8,12424479,6,17028620,2,53393458
gfs,12,6,548797645,17,12155048,470752516,9,12155048,9,12155048,9,12155048,8,12725430,6,17357906,2,54944396
gfs,12,9,543252191,17,11956799,465635597,9,11956799,9,11956799,9,11956799,8,12525105,6,16989960,2,53465478
gfs,12,12,545220258,17,12141842,467593769,9,12141842,9,12141842,9,12141842,8,12704858,6,17312254,2,54915896
gfs,12,15,545223595,17,11939909,467479422,9,11939909,9,11939909,9,11939909,8,12498081,6,16934747,2,53394300
gfs,12,18,542856385,17,12166918,465863315,9,12166918,9,12166918,9,12166918,8,12726030,6,17275718,2,54949169
gfs,12,21,542536575,17,11999756,466452400,9,11999756,9,11999756,9,11999756,8,12566327,6,16974554,2,53673469
gfs,12,24,542635044,17,12223266,466245592,9,12223266,9,12223266,9,12223266,8,12792572,6,17256468,2,55074175
gfs,12,27,543379812,17,12115796,467201809,9,12115796,9,12115796,9,12115796,8,12688137,6,17113064,2,53939320
gfs,12,30,541268175,17,12357677,465975476,9,12357677,9,12357677,9,12357677,8,12928938,5,22407779,2,54800697
gfs,12,33,534497982,17,12123629,462633664,9,12123629,9,12123629,9,12123629,8,12694194,5,22010457,2,53256027
gfs,12,36,533992012,17,12297899,462822117,9,12297899,9,12297899,9,12297899,8,12864192,5,22243041,2,54448948
