split,method,baseline_method,row_count,mean_delta_rps,p05_delta_rps,p50_delta_rps,p95_delta_rps
presealed_2022_2023,B2_month_residual_pmf,B4_hierarchical_residual_pmf,730,-0.00035154672946875065,-0.0006874731540919835,-0.0003467865839077468,3.618740224489099e-07
presealed_2022_2023,B3_forecast_level_residual_pmf,B4_hierarchical_residual_pmf,730,-0.00012945061934228482,-0.0005350170268316995,-0.00012130754175636999,0.00023314097612321216
presealed_2022_2023,B4_hierarchical_residual_pmf,B4_hierarchical_residual_pmf,730,0.0,0.0,0.0,0.0
presealed_2022_2023,B5_kernel_analog_pmf,B4_hierarchical_residual_pmf,730,-0.000316114911180188,-0.000729790328972699,-0.00032178884275932754,0.00012853436518498278
presealed_2022_2023,B6_month_climatology_diagnostic,B4_hierarchical_residual_pmf,730,0.054333023069070105,0.04872689652666086,0.05426019818046238,0.060344021503185845
presealed_2022_2023,C1_multinomial_ridge,B4_hierarchical_residual_pmf,730,0.000838377108711081,1.2108276569883611e-05,0.0008641248310360047,0.0015587924920759046
presealed_2022_2023,C2_ordinal_cdf_logistic,B4_hierarchical_residual_pmf,730,0.0012794387513577292,0.0003434559224918762,0.0012687060360293129,0.0021253719062933924
presealed_2022_2023,E1_normal_emos,B4_hierarchical_residual_pmf,730,0.0006701783537022772,0.00014062363684031953,0.0006659063994538979,0.0012173785656272613
presealed_2022_2023,E2_student_t_emos,B4_hierarchical_residual_pmf,730,-6.221637949009555e-05,-0.0005125529140525623,-5.5472416773665045e-05,0.0004006181930088267
presealed_2022_2023,E3_two_piece_normal_emos,B4_hierarchical_residual_pmf,730,0.0022393987909423816,0.0015064534629362983,0.002217717999584319,0.0030178212941471168
presealed_2022_2023,G1_gamlss_tree_location_scale,B4_hierarchical_residual_pmf,730,0.0012535050243425386,0.0006041007259913696,0.0012372173502108869,0.0019716083227073055
presealed_2022_2023,H1_b4_challenger_linear_pool,B4_hierarchical_residual_pmf,730,-0.0002050642895901504,-0.0003380751618405401,-0.0002018626232274598,-7.524563108397832e-05
presealed_2022_2023,K0_B4_identity,B4_hierarchical_residual_pmf,730,0.0,0.0,0.0,0.0
presealed_2022_2023,K1_B4_power_calibrated,B4_hierarchical_residual_pmf,730,1.1936686489448665e-05,-5.027111943457854e-05,1.2683145183243344e-05,7.285935732869903e-05
presealed_2022_2023,K2_B4_monotone_cdf_projected,B4_hierarchical_residual_pmf,730,1.3877787807814457e-19,-6.938893903907228e-18,0.0,6.938893903907228e-18
presealed_2022_2023,P1_normal_mos,B4_hierarchical_residual_pmf,730,-0.00012624072863274128,-0.00063804685515065,-0.00013426485330966798,0.00037205630249641816
presealed_2022_2023,P2_student_t_mos,B4_hierarchical_residual_pmf,730,-1.4540626233519344e-05,-0.0005088305974131839,-1.1734758731330591e-05,0.00048664045475413424
presealed_2022_2023,Q1_quantile_cdf_gb,B4_hierarchical_residual_pmf,730,0.030827428977457855,0.027793030750374863,0.030803711169270775,0.03421069808617924
presealed_2022_2023,Q2_threshold_cdf_gb,B4_hierarchical_residual_pmf,730,0.005894356178799926,0.005125227173828896,0.00589262260987352,0.006780541127678856
presealed_2022_2023,S1_conservative_simplex_stack,B4_hierarchical_residual_pmf,730,-0.00011412025600706109,-0.00017858244474476572,-0.00011264541331028333,-5.467763977514522e-05
presealed_2022_2023,T1_time_decay_b4,B4_hierarchical_residual_pmf,730,-0.00028887334824169154,-0.0005729769041124426,-0.00027282018368959826,-8.43700045122565e-06
sealed_2024_2026_05,B0_climatology,B4_hierarchical_residual_pmf,882,0.15139807481690185,0.14592160191656778,0.15115210129750278,0.15815213094825628
sealed_2024_2026_05,B1_global_residual_pmf,B4_hierarchical_residual_pmf,882,0.00046057727288351666,2.3732623109327952e-05,0.00047199408511367294,0.0008921993264522924
sealed_2024_2026_05,B2_month_residual_pmf,B4_hierarchical_residual_pmf,882,0.0004469064363086778,0.00012324515504137103,0.000449524412011907,0.0007692531146143183
sealed_2024_2026_05,B3_forecast_level_residual_pmf,B4_hierarchical_residual_pmf,882,0.00028717324170871017,-9.819825888414736e-06,0.0002840154688542665,0.0005915550711297878
sealed_2024_2026_05,B4_hierarchical_residual_pmf,B4_hierarchical_residual_pmf,882,0.0,0.0,0.0,0.0
sealed_2024_2026_05,B5_kernel_analog_pmf,B4_hierarchical_residual_pmf,882,-0.000248489225757424,-0.0005881107646225816,-0.00024963339946477286,0.0001202298256103365
sealed_2024_2026_05,B6_month_climatology_diagnostic,B4_hierarchical_residual_pmf,882,0.0546177750629995,0.04958820861285071,0.05464480457387647,0.059753948778808526
sealed_2024_2026_05,C1_multinomial_ridge,B4_hierarchical_residual_pmf,882,0.00016965994152773833,-0.0004920066458515303,0.00017777823807330756,0.0007689151410255325
sealed_2024_2026_05,C2_ordinal_cdf_logistic,B4_hierarchical_residual_pmf,882,0.000346721788621838,-0.00029246184025242324,0.00034041779187930776,0.001069307130815754
sealed_2024_2026_05,E1_normal_emos,B4_hierarchical_residual_pmf,882,0.0012505228821149655,0.0007304477031214954,0.0012737551450230401,0.0017752560999250264
sealed_2024_2026_05,E2_student_t_emos,B4_hierarchical_residual_pmf,882,0.0003743991329014412,-1.6657378022987569e-06,0.00037753842828288156,0.0008239172556409393
sealed_2024_2026_05,E3_two_piece_normal_emos,B4_hierarchical_residual_pmf,882,0.002919211759416953,0.0021536060768890877,0.002914154375690283,0.00373250701238726
sealed_2024_2026_05,G1_gamlss_tree_location_scale,B4_hierarchical_residual_pmf,882,0.00195923862662929,0.0013615319508919585,0.0019616776760133375,0.002565805534631487
sealed_2024_2026_05,H1_b4_challenger_linear_pool,B4_hierarchical_residual_pmf,882,1.7896222508647307e-05,-0.0001517124125894012,1.3568246165621134e-05,0.0001944654621190113
sealed_2024_2026_05,K0_B4_identity,B4_hierarchical_residual_pmf,882,0.0,0.0,0.0,0.0
sealed_2024_2026_05,K1_B4_power_calibrated,B4_hierarchical_residual_pmf,882,-1.9721917753750386e-05,-7.00883268985042e-05,-1.9571819198590384e-05,3.38669674914617e-05
sealed_2024_2026_05,K2_B4_monotone_cdf_projected,B4_hierarchical_residual_pmf,882,-3.0531133177191803e-19,-6.938893903907228e-18,0.0,6.938893903907228e-18
sealed_2024_2026_05,P1_normal_mos,B4_hierarchical_residual_pmf,882,0.0002157573201412057,-0.0001741641995922145,0.00021216762516973117,0.000679281694230266
sealed_2024_2026_05,P2_student_t_mos,B4_hierarchical_residual_pmf,882,0.0002589107140772717,-0.00018940747795432482,0.0002533561511177812,0.0007356638777713139
sealed_2024_2026_05,Q1_quantile_cdf_gb,B4_hierarchical_residual_pmf,882,0.024621671534328697,0.022114902732692766,0.02455566188898619,0.026937822492216903
sealed_2024_2026_05,Q2_threshold_cdf_gb,B4_hierarchical_residual_pmf,882,0.004654471138239199,0.00393542019524908,0.004651980152692671,0.00533731577585928
sealed_2024_2026_05,S1_conservative_simplex_stack,B4_hierarchical_residual_pmf,882,-4.7207078876736825e-05,-9.436039663765632e-05,-4.73622471465901e-05,1.5497406687280616e-06
sealed_2024_2026_05,T1_time_decay_b4,B4_hierarchical_residual_pmf,882,0.00026728951893761687,-8.046773071825258e-05,0.00026810964304379084,0.0006066685866106228
