issue_hour_hkt,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
23,S1_conservative_simplex_stack,stack,5616,0.041672499758688024,1.034640573304879,0.04596416589312094,0.4167249975868802,0.018368004906078265,0.05232354846894394,1.0290620652744629
23,H1_b4_challenger_linear_pool,hybrid_pool,5616,0.041680924607414356,1.0357131590189026,0.045963706282306296,0.41680924607414355,0.01638947390119886,0.06836951386734913,1.0162219326255952
23,B4_hierarchical_residual_pmf,residual_pmf,5616,0.04172443299763703,1.038794834041887,0.0460198960048322,0.4172443299763703,0.02059956333414676,0.045725525962781566,1.0124844722312114
23,K0_B4_identity,calibration,5616,0.04172443299763703,1.038794834041887,0.0460198960048322,0.4172443299763703,0.02059956333414676,0.045725525962781566,1.0124844722312114
23,K2_B4_monotone_cdf_projected,calibration,5616,0.041724432997637034,1.0387948340418878,0.0460198960048322,0.4172443299763703,0.02059956333414678,0.04572552596278151,1.0124844722312125
23,K1_B4_power_calibrated,calibration,5616,0.041727557342423414,1.0379856328305983,0.04599822455904138,0.4172755734242342,0.01632104022555901,0.06518041818554282,1.0325452410932376
23,T1_time_decay_b4,time_decay_residual_pmf,5616,0.04173474547893217,1.0345508345659462,0.04606335471615553,0.41734745478932167,0.008546143945501728,0.05906209189807454,1.0307184913614797
23,B3_forecast_level_residual_pmf,residual_pmf,5616,0.041844486758451746,1.0404721609102912,0.046092477684088064,0.41844486758451743,0.01280691854237265,0.12738332920816858,1.0187674201421597
23,E2_student_t_emos,emos,5616,0.04190145161985227,1.0511558135025807,0.04629602731471043,0.4190145161985227,0.02485255684315567,0.2988875409325,1.0325123505239346
23,B2_month_residual_pmf,residual_pmf,5616,0.041912669701446116,1.0424814108320184,0.04614325591319188,0.4191266970144612,0.013541971575546659,0.1331792085366229,1.0390857171184997
23,B1_global_residual_pmf,residual_pmf,5616,0.04194206543237894,1.0433885780444936,0.04625818917613053,0.41942065432378944,0.017197375042315447,0.1011242573817529,1.0453995395947084
23,P1_normal_mos,mos,5616,0.041968745448864885,1.0430860896543312,0.04634832749395349,0.41968745448864886,0.024693211534853002,0.12292427914572968,1.0552557719810618
23,P2_student_t_mos,mos,5616,0.04205000176205807,1.0481126426070588,0.04639886505757714,0.4205000176205807,0.03380980586533069,0.05501998147559162,1.1035362167690295
23,E1_normal_emos,emos,5616,0.042563388036789,1.1012102662307306,0.04689753381969998,0.42563388036789,0.05123513721615284,0.14440761726705897,0.8386009106636091
23,C1_multinomial_ridge,direct_classifier,5616,0.042654624473869314,1.0540930582021009,0.04673169848916703,0.42654624473869307,0.011319116652007197,0.06313498373028015,1.0795686330450727
23,C2_ordinal_cdf_logistic,direct_classifier,5616,0.04303779423660034,1.0654773285954755,0.046877170618518774,0.43037794236600335,0.01946709741926304,0.12518531010856354,1.1082838347744466
23,G1_gamlss_tree_location_scale,gamlss_tree,5616,0.04311127261293278,1.1697254355626407,0.04766267611099449,0.4311127261293278,0.07779826007687228,0.16500458892408293,0.7615431025683999
23,E3_two_piece_normal_emos,emos,5616,0.0440012235677173,1.2798277273576821,0.048841266485766435,0.44001223567717307,0.09608016987041851,0.4455308957820697,0.6994665116466935
23,Q2_threshold_cdf_gb,threshold_cdf,5616,0.047019585106562206,1.162387855869518,0.04715618413034001,0.47019585106562206,0.03960595219083842,0.10029404581999846,1.365908922200041
23,Q1_quantile_cdf_gb,quantile_cdf,5616,0.06757138951819439,1.3134090186037337,0.05080274945282589,0.675713895181944,0.12313534020378969,0.21844800789673854,1.65398640075044
23,B6_month_climatology_diagnostic,diagnostic,5616,0.08565363537590419,1.5503845200007802,0.05789885386505902,0.8565363537590419,0.05850800178123072,0.17944165676752594,1.3683686983269836
23,B0_climatology,baseline,5616,0.1934624744966469,2.1173488847829582,0.07502234756577325,1.9346247449664693,0.030804265129768957,0.045170717799518534,2.008714277541966
