bin,lo,hi,count,confidence,accuracy,abs_gap,validation_split,method
3,0.30000000000000004,0.4,485,0.3516237018358951,0.334020618556701,0.017603083279194076,fold1,K1_B4_power_calibrated
4,0.4,0.5,45,0.42627953139754554,0.35555555555555557,0.07072397584198997,fold1,K1_B4_power_calibrated
5,0.5,0.6000000000000001,13,0.510570122794324,0.3076923076923077,0.2028778151020163,fold1,K1_B4_power_calibrated
6,0.6000000000000001,0.7000000000000001,26,0.6315886851702182,0.5,0.13158868517021816,fold1,K1_B4_power_calibrated
7,0.7000000000000001,0.8,15,0.7514777158228327,0.8,0.04852228417716731,fold1,K1_B4_power_calibrated
8,0.8,0.9,20,0.8458686998608205,0.9,0.05413130013917955,fold1,K1_B4_power_calibrated
9,0.9,1.0,362,0.9882956450925782,0.9917127071823204,0.00341706208974224,fold1,K1_B4_power_calibrated
0,0.0,0.1,0,,,,fold1,K2_B4_monotone_cdf_projected
1,0.1,0.2,0,,,,fold1,K2_B4_monotone_cdf_projected
2,0.2,0.30000000000000004,117,0.27920419703340854,0.21367521367521367,0.06552898335819488,fold1,K2_B4_monotone_cdf_projected
3,0.30000000000000004,0.4,444,0.3524630745954078,0.3130630630630631,0.039400011532344736,fold1,K2_B4_monotone_cdf_projected
4,0.4,0.5,96,0.4179961510225633,0.4166666666666667,0.0013294843558966374,fold1,K2_B4_monotone_cdf_projected
5,0.5,0.6000000000000001,16,0.5220165181932006,0.3125,0.2095165181932006,fold1,K2_B4_monotone_cdf_projected
6,0.6000000000000001,0.7000000000000001,26,0.6502686207684698,0.5,0.1502686207684698,fold1,K2_B4_monotone_cdf_projected
7,0.7000000000000001,0.8,15,0.7700431376913169,0.8,0.029956862308683108,fold1,K2_B4_monotone_cdf_projected
8,0.8,0.9,20,0.8623364686241469,0.9,0.0376635313758531,fold1,K2_B4_monotone_cdf_projected
9,0.9,1.0,362,0.9901366851560904,0.9917127071823204,0.001576022026229973,fold1,K2_B4_monotone_cdf_projected
0,0.0,0.1,0,,,,fold1,S1_conservative_simplex_stack
1,0.1,0.2,0,,,,fold1,S1_conservative_simplex_stack
2,0.2,0.30000000000000004,123,0.2821406259448174,0.21951219512195122,0.0626284308228662,fold1,S1_conservative_simplex_stack
3,0.30000000000000004,0.4,451,0.3488999368257699,0.31042128603104213,0.03847865079472779,fold1,S1_conservative_simplex_stack
4,0.4,0.5,86,0.416967731101761,0.43023255813953487,0.013264827037773874,fold1,S1_conservative_simplex_stack
5,0.5,0.6000000000000001,13,0.514784628727181,0.3076923076923077,0.2070923210348733,fold1,S1_conservative_simplex_stack
6,0.6000000000000001,0.7000000000000001,26,0.6644336111885245,0.5,0.1644336111885245,fold1,S1_conservative_simplex_stack
7,0.7000000000000001,0.8,15,0.7652841278829974,0.8,0.034715872117002666,fold1,S1_conservative_simplex_stack
8,0.8,0.9,20,0.8678844482312231,0.9,0.032115551768776895,fold1,S1_conservative_simplex_stack
9,0.9,1.0,362,0.9900197038368432,0.9917127071823204,0.0016930033454771731,fold1,S1_conservative_simplex_stack
0,0.0,0.1,0,,,,fold1,E1_normal_emos
1,0.1,0.2,0,,,,fold1,E1_normal_emos
2,0.2,0.30000000000000004,0,,,,fold1,E1_normal_emos
3,0.30000000000000004,0.4,293,0.37457309285332785,0.2832764505119454,0.09129664234138246,fold1,E1_normal_emos
4,0.4,0.5,372,0.4303835995468347,0.3629032258064516,0.06748037374038307,fold1,E1_normal_emos
5,0.5,0.6000000000000001,8,0.5231407389285049,0.375,0.14814073892850488,fold1,E1_normal_emos
6,0.6000000000000001,0.7000000000000001,0,,,,fold1,E1_normal_emos
7,0.7000000000000001,0.8,14,0.7650933465527828,0.5714285714285714,0.19366477512421143,fold1,E1_normal_emos
8,0.8,0.9,27,0.8412195117888422,0.5925925925925926,0.24862691919624968,fold1,E1_normal_emos
9,0.9,1.0,382,0.9967548333810504,0.9895287958115183,0.007226037569532107,fold1,E1_normal_emos
0,0.0,0.1,0,,,,fold1,E2_student_t_emos
1,0.1,0.2,0,,,,fold1,E2_student_t_emos
2,0.2,0.30000000000000004,0,,,,fold1,E2_student_t_emos
3,0.30000000000000004,0.4,568,0.35521604366302667,0.3045774647887324,0.05063857887429429,fold1,E2_student_t_emos
4,0.4,0.5,102,0.423394892357161,0.4019607843137255,0.021434108043435485,fold1,E2_student_t_emos
5,0.5,0.6000000000000001,3,0.532725005868389,0.3333333333333333,0.1993916725350557,fold1,E2_student_t_emos
6,0.6000000000000001,0.7000000000000001,0,,,,fold1,E2_student_t_emos
7,0.7000000000000001,0.8,25,0.7600199514655813,0.52,0.2400199514655813,fold1,E2_student_t_emos
8,0.8,0.9,21,0.8322441280602142,0.7619047619047619,0.07033936615545233,fold1,E2_student_t_emos
9,0.9,1.0,377,0.9851109561676217,0.9893899204244032,0.004278964256781537,fold1,E2_student_t_emos
0,0.0,0.1,0,,,,fold1,E3_two_piece_normal_emos
1,0.1,0.2,0,,,,fold1,E3_two_piece_normal_emos
2,0.2,0.30000000000000004,0,,,,fold1,E3_two_piece_normal_emos
3,0.30000000000000004,0.4,1,0.39711676696932974,0.0,0.39711676696932974,fold1,E3_two_piece_normal_emos
4,0.4,0.5,510,0.45774363147235564,0.3215686274509804,0.13617500402137522,fold1,E3_two_piece_normal_emos
5,0.5,0.6000000000000001,160,0.5298194640626355,0.3625,0.16731946406263548,fold1,E3_two_piece_normal_emos
6,0.6000000000000001,0.7000000000000001,2,0.6257295056106646,0.5,0.12572950561066465,fold1,E3_two_piece_normal_emos
7,0.7000000000000001,0.8,2,0.7900199800864373,1.0,0.20998001991356274,fold1,E3_two_piece_normal_emos
8,0.8,0.9,27,0.8581547565956902,0.5185185185185185,0.3396362380771717,fold1,E3_two_piece_normal_emos
9,0.9,1.0,394,0.9965502667968856,0.9796954314720813,0.016854835324804363,fold1,E3_two_piece_normal_emos
0,0.0,0.1,0,,,,fold1,G1_gamlss_tree_location_scale
1,0.1,0.2,0,,,,fold1,G1_gamlss_tree_location_scale
2,0.2,0.30000000000000004,0,,,,fold1,G1_gamlss_tree_location_scale
3,0.30000000000000004,0.4,47,0.3912716369352277,0.1276595744680851,0.26361206246714264,fold1,G1_gamlss_tree_location_scale
4,0.4,0.5,607,0.4462192596929335,0.3393739703459638,0.10684528934696974,fold1,G1_gamlss_tree_location_scale
5,0.5,0.6000000000000001,19,0.5178969527732536,0.3684210526315789,0.14947590014167472,fold1,G1_gamlss_tree_location_scale
6,0.6000000000000001,0.7000000000000001,0,,,,fold1,G1_gamlss_tree_location_scale
7,0.7000000000000001,0.8,10,0.7786723766267223,0.6,0.1786723766267223,fold1,G1_gamlss_tree_location_scale
8,0.8,0.9,31,0.8374644111694589,0.5806451612903226,0.2568192498791363,fold1,G1_gamlss_tree_location_scale
9,0.9,1.0,382,0.9980852657273555,0.9895287958115183,0.00855646991583714,fold1,G1_gamlss_tree_location_scale
0,0.0,0.1,0,,,,fold1,Q1_quantile_cdf_gb
1,0.1,0.2,86,0.16940144287183906,0.4418604651162791,0.27245902224444,fold1,Q1_quantile_cdf_gb
2,0.2,0.30000000000000004,512,0.23207295557737073,0.306640625,0.07456766942262927,fold1,Q1_quantile_cdf_gb
3,0.30000000000000004,0.4,41,0.3359343081621057,0.36585365853658536,0.02991935037447968,fold1,Q1_quantile_cdf_gb
4,0.4,0.5,18,0.4206041862268091,0.3888888888888889,0.03171529733792022,fold1,Q1_quantile_cdf_gb
5,0.5,0.6000000000000001,17,0.5910430132516266,0.4117647058823529,0.17927830736927364,fold1,Q1_quantile_cdf_gb
6,0.6000000000000001,0.7000000000000001,30,0.6455248619371936,0.5666666666666667,0.07885819527052695,fold1,Q1_quantile_cdf_gb
7,0.7000000000000001,0.8,38,0.745269089044844,0.868421052631579,0.12315196358673497,fold1,Q1_quantile_cdf_gb
8,0.8,0.9,354,0.8139226905961945,0.9887005649717514,0.17477787437555692,fold1,Q1_quantile_cdf_gb
9,0.9,1.0,0,,,,fold1,Q1_quantile_cdf_gb
0,0.0,0.1,0,,,,fold1,Q2_threshold_cdf_gb
1,0.1,0.2,0,,,,fold1,Q2_threshold_cdf_gb
2,0.2,0.30000000000000004,193,0.27989408101183705,0.22797927461139897,0.05191480640043808,fold1,Q2_threshold_cdf_gb
3,0.30000000000000004,0.4,403,0.33958167392379296,0.3052109181141439,0.034370755809649045,fold1,Q2_threshold_cdf_gb
4,0.4,0.5,51,0.4413430479200178,0.3333333333333333,0.10800971458668446,fold1,Q2_threshold_cdf_gb
5,0.5,0.6000000000000001,23,0.5368500377011789,0.43478260869565216,0.10206742900552673,fold1,Q2_threshold_cdf_gb
6,0.6000000000000001,0.7000000000000001,23,0.6527167687363198,0.5217391304347826,0.1309776383015372,fold1,Q2_threshold_cdf_gb
7,0.7000000000000001,0.8,23,0.7156385303049124,0.6521739130434783,0.06346461726143415,fold1,Q2_threshold_cdf_gb
8,0.8,0.9,380,0.8848624533384629,0.9868421052631579,0.10197965192469494,fold1,Q2_threshold_cdf_gb
9,0.9,1.0,0,,,,fold1,Q2_threshold_cdf_gb
0,0.0,0.1,0,,,,fold1,T1_time_decay_b4
1,0.1,0.2,0,,,,fold1,T1_time_decay_b4
2,0.2,0.30000000000000004,57,0.28285487349434557,0.12280701754385964,0.16004785595048593,fold1,T1_time_decay_b4
3,0.30000000000000004,0.4,566,0.3340188425442968,0.3392226148409894,0.00520377229669261,fold1,T1_time_decay_b4
4,0.4,0.5,45,0.43337968105195807,0.37777777777777777,0.0556019032741803,fold1,T1_time_decay_b4
5,0.5,0.6000000000000001,5,0.5148297359934387,0.2,0.3148297359934387,fold1,T1_time_decay_b4
6,0.6000000000000001,0.7000000000000001,9,0.6838988100051273,0.4444444444444444,0.2394543655606829,fold1,T1_time_decay_b4
7,0.7000000000000001,0.8,32,0.7326571487619866,0.65625,0.07640714876198662,fold1,T1_time_decay_b4
8,0.8,0.9,5,0.8781128538036679,0.8,0.07811285380366784,fold1,T1_time_decay_b4
9,0.9,1.0,377,0.986715294288141,0.9893899204244032,0.002674626136262237,fold1,T1_time_decay_b4
0,0.0,0.1,0,,,,fold1,H1_b4_challenger_linear_pool
1,0.1,0.2,0,,,,fold1,H1_b4_challenger_linear_pool
2,0.2,0.30000000000000004,94,0.28372578464480747,0.1702127659574468,0.11351301868736066,fold1,H1_b4_challenger_linear_pool
3,0.30000000000000004,0.4,522,0.34326728342866186,0.342911877394636,0.00035540603402584026,fold1,H1_b4_challenger_linear_pool
4,0.4,0.5,52,0.4351579433944833,0.40384615384615385,0.03131178954832947,fold1,H1_b4_challenger_linear_pool
5,0.5,0.6000000000000001,5,0.517413708622926,0.2,0.317413708622926,fold1,H1_b4_challenger_linear_pool
6,0.6000000000000001,0.7000000000000001,26,0.6758085935350997,0.5,0.1758085935350997,fold1,H1_b4_challenger_linear_pool
7,0.7000000000000001,0.8,15,0.7638567463984832,0.8,0.03614325360151682,fold1,H1_b4_challenger_linear_pool
8,0.8,0.9,20,0.8794819734644502,0.9,0.020518026535549794,fold1,H1_b4_challenger_linear_pool
9,0.9,1.0,362,0.9901645865691399,0.9917127071823204,0.001548120613180548,fold1,H1_b4_challenger_linear_pool
0,0.0,0.1,0,,,,fold2,B0_climatology
1,0.1,0.2,0,,,,fold2,B0_climatology
2,0.2,0.30000000000000004,0,,,,fold2,B0_climatology
3,0.30000000000000004,0.4,0,,,,fold2,B0_climatology
4,0.4,0.5,1095,0.4040305217287545,0.3881278538812785,0.01590266784747596,fold2,B0_climatology
5,0.5,0.6000000000000001,0,,,,fold2,B0_climatology
6,0.6000000000000001,0.7000000000000001,0,,,,fold2,B0_climatology
7,0.7000000000000001,0.8,0,,,,fold2,B0_climatology
8,0.8,0.9,0,,,,fold2,B0_climatology
9,0.9,1.0,0,,,,fold2,B0_climatology
0,0.0,0.1,0,,,,fold2,B1_global_residual_pmf
1,0.1,0.2,0,,,,fold2,B1_global_residual_pmf
2,0.2,0.30000000000000004,0,,,,fold2,B1_global_residual_pmf
3,0.30000000000000004,0.4,631,0.32537662523659433,0.36608557844690964,0.04070895321031531,fold2,B1_global_residual_pmf
4,0.4,0.5,31,0.44140090268487236,0.45161290322580644,0.010212000540934074,fold2,B1_global_residual_pmf
5,0.5,0.6000000000000001,16,0.5585990973151266,0.4375,0.12109909731512658,fold2,B1_global_residual_pmf
6,0.6000000000000001,0.7000000000000001,0,,,,fold2,B1_global_residual_pmf
7,0.7000000000000001,0.8,36,0.7667775279214667,0.6666666666666666,0.10011086125480007,fold2,B1_global_residual_pmf
8,0.8,0.9,2,0.8415182798266665,1.0,0.1584817201733335,fold2,B1_global_residual_pmf
9,0.9,1.0,379,0.9881552851250808,0.9841688654353562,0.003986419689724574,fold2,B1_global_residual_pmf
0,0.0,0.1,0,,,,fold2,B2_month_residual_pmf
1,0.1,0.2,0,,,,fold2,B2_month_residual_pmf
2,0.2,0.30000000000000004,65,0.2445346910556329,0.24615384615384617,0.001619155098213254,fold2,B2_month_residual_pmf
