official_max_bin,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
28,B3_forecast_level_residual_pmf,residual_pmf,331,0.06631513141676543,1.6086027442471302,0.06972711949819571,0.6631513141676543,0.022116166590160635,0.022116166590160635,1.654164609284417
28,T1_time_decay_b4,time_decay_residual_pmf,331,0.06640044153785506,1.6129933844018933,0.06983266291023736,0.6640044153785506,0.0072162844091362525,0.01297309609431302,1.629565262532042
28,P1_normal_mos,mos,331,0.06643192896651705,1.609106710002326,0.06988707810081718,0.6643192896651704,0.02813583604093378,0.051299502284366416,1.6452044455234083
28,S1_conservative_simplex_stack,stack,331,0.06644153080407027,1.6127895837529336,0.06986785678913361,0.6644153080407027,0.004242274101014201,0.005254375735449013,1.6362950398097704
28,H1_b4_challenger_linear_pool,hybrid_pool,331,0.06650401733467573,1.6178656318426083,0.06987175444515907,0.6650401733467571,0.032735789501548034,0.07918307808847888,1.6127023226233839
28,B4_hierarchical_residual_pmf,residual_pmf,331,0.06654543510887168,1.61913809201754,0.06995915391746102,0.6654543510887169,0.01422121414579407,0.5931111741800809,1.621237148174113
28,K0_B4_identity,calibration,331,0.06654543510887168,1.61913809201754,0.06995915391746102,0.6654543510887169,0.01422121414579407,0.5931111741800809,1.621237148174113
28,K2_B4_monotone_cdf_projected,calibration,331,0.06654543510887168,1.61913809201754,0.06995915391746102,0.6654543510887169,0.014221214145794095,0.5931111741800807,1.621237148174113
28,P2_student_t_mos,mos,331,0.06655309630063092,1.6211502690415538,0.06994050020575768,0.6655309630063091,0.01900187738126309,0.02263794905571037,1.7190487712902267
28,K1_B4_power_calibrated,calibration,331,0.06658110244398102,1.6198588335017345,0.06995649269352912,0.6658110244398102,0.0015996179267546312,0.002259608546417602,1.6456053336197116
28,E2_student_t_emos,emos,331,0.06670954696624638,1.6454599240055647,0.07044341274943854,0.667095469662464,0.05030547900246806,0.2988875409325,1.6051726533031978
28,B2_month_residual_pmf,residual_pmf,331,0.06684656950895913,1.6295500312368811,0.0700299654695131,0.6684656950895912,0.035371120577165724,0.5920260437524492,1.6394131391239015
28,C2_ordinal_cdf_logistic,direct_classifier,331,0.06688366461242222,1.6262847684652122,0.07011997172985437,0.6688366461242221,0.0086224130790372,0.4258004046546673,1.7260380070076013
28,C1_multinomial_ridge,direct_classifier,331,0.06692151479456847,1.623313600756724,0.07046549269621262,0.6692151479456847,0.04319063605732199,0.6557520245928526,1.6941846600299963
28,E1_normal_emos,emos,331,0.06776965374064613,1.7011525506672591,0.0714608528083053,0.6776965374064613,0.09020450001753083,0.11522284448008202,1.3190359579932207
28,Q2_threshold_cdf_gb,threshold_cdf,331,0.06788540877606089,1.7060280363974578,0.0705532436543285,0.6788540877606087,0.029597430553627763,0.042463623141399676,1.83197856519484
28,G1_gamlss_tree_location_scale,gamlss_tree,331,0.0683647191984881,1.7720106988421507,0.07241219927144205,0.683647191984881,0.11284082265319598,0.1175560378448699,1.2384264488812593
28,E3_two_piece_normal_emos,emos,331,0.07016994734644703,1.9727186015574978,0.07472120145364694,0.7016994734644704,0.15923208819517687,0.39711676696932974,1.1017633296453833
28,Q1_quantile_cdf_gb,quantile_cdf,331,0.0719753274246258,1.7849184418349902,0.07217134176422546,0.7197532742462581,0.07761025148936745,0.15046746626051277,1.940526444731086
