cutoff_profile,model_id,official_max_bin,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope
tminus1_1800,B0_climatology_persistence,ge33,620,1.7131774193548388,1.9969681455129793,1.6000000000000014,-1.6214032258064517,2.5599999999999996,3.099999999999998,3.6314999999999977,5.030000000000001,31.724887096774193,33.34629032258064,33.351451612903226,by_official_max_bin
tminus1_1800,A3_hko_hourly_state_residual_lgbm,le20,780,0.9216521372891879,1.176061425775811,0.7628710011634876,-0.0352807934477173,1.400821291617912,1.850152037172995,2.299174732599957,4.646536335096918,18.377667924501,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,A2_revision_residual_lgbm,le20,780,0.9251095936636499,1.1909792878636845,0.7498381972456105,-0.019299146233697207,1.4963456811649005,1.8941964118699839,2.3996265640367227,4.351039687066503,18.39364957171502,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,D5_conservative_A7_plus_memory_blend,le20,780,0.9276790922699883,1.180641847642473,0.7671240467222216,-0.033454705196636673,1.4416919848106822,1.8960084763010592,2.299435309548998,4.499239532825307,18.379494012752083,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,D4_residual_memory_constrained_stack,le20,780,0.9277467603642505,1.180553094522938,0.7671240467222216,-0.02901169899916547,1.4416919848106822,1.9126637938708577,2.3154021572670618,4.499239532825307,18.383937018949553,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,A7_final_residual_ensemble,le20,780,0.9280857552110767,1.1819486925096145,0.7800461589813743,-0.05329904685749575,1.4181080049530792,1.9041586018117649,2.290989930554661,4.476817218662621,18.359649671091223,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,D0_A7_reproduction,le20,780,0.9280857552110767,1.1819486925096145,0.7800461589813743,-0.05329904685749575,1.4181080049530792,1.9041586018117649,2.290989930554661,4.476817218662621,18.359649671091223,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,A4_network_gradients_residual_lgbm,le20,780,0.9293719040849271,1.1866383329569772,0.7756218331294473,-0.05801994704339772,1.426949680845059,1.8681810684719713,2.344450970499293,4.734129812117974,18.35492877090532,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,A6_target_memory_residual_lgbm,le20,780,0.929592079701767,1.18486407018448,0.7801215242729285,-0.04126770653085772,1.3970262817924513,1.8836860895889074,2.3476540381538937,4.484353522135258,18.37168101141786,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,D3_pruned_full_plus_residual_memory_lgbm,le20,780,0.9305503566290909,1.1902215898173816,0.7802167700980895,-0.039446659175966424,1.4503755774563203,1.8944702681369665,2.338919995098301,4.6334149367750115,18.373502058772754,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,A5_text_warning_residual_lgbm,le20,780,0.9310396882099022,1.1863860124486507,0.7844074600453528,-0.05662182157495952,1.4191447419034187,1.8756797619466519,2.341852849613768,4.713543885540865,18.35632689637376,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,D2_A3_plus_residual_memory_lgbm,le20,780,0.9375055439929975,1.1915821858980624,0.7785644825854909,-0.03710728515339467,1.438102685572079,1.880982890344247,2.332180097153724,4.752468523271418,18.375841432795326,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,A1_grouped_residual,le20,780,0.9489079865935771,1.2079717684062508,0.7730631146589069,-0.10983480781983,1.4839970479694429,1.9448146963779427,2.399211323705262,4.388347055915265,18.303113910128886,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,D1_official_residual_memory_shrinkage,le20,780,0.9731784998897013,1.2417001979030968,0.8016230753064537,-0.3017715896745487,1.5411172209123756,1.9925250188300165,2.4497660414499345,4.437977403108462,18.11117712827417,18.41294871794872,18.065384615384616,by_official_max_bin
tminus1_1800,A0_raw_official,le20,780,0.9778205128205129,1.2522441393815285,0.8000000000000007,-0.3475641025641026,1.5,2.0100000000000025,2.5,4.600000000000001,18.065384615384616,18.41294871794872,18.065384615384616,by_official_max_bin
