target_month,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
2,B3_forecast_level_residual_pmf,residual_pmf,452,0.007943330243064562,0.24450877909434382,0.012151883499925362,0.07943330243064561,0.030665856803292202,0.500788290227044,0.23699491202924705
2,K1_B4_power_calibrated,calibration,452,0.007989678956136108,0.24739947562751405,0.012144109878586872,0.07989678956136112,0.02269075452434649,0.38575622869271486,0.2674578028620874
2,B4_hierarchical_residual_pmf,residual_pmf,452,0.007994114619629018,0.24666982539518087,0.012179288289961735,0.07994114619629022,0.02440383281642472,0.3779747489175401,0.25503388072221383
2,K0_B4_identity,calibration,452,0.007994114619629018,0.24666982539518087,0.012179288289961735,0.07994114619629022,0.02440383281642472,0.3779747489175401,0.25503388072221383
2,K2_B4_monotone_cdf_projected,calibration,452,0.007994114619629018,0.24666982539518098,0.012179288289961737,0.07994114619629021,0.02440383281642489,0.3779747489175401,0.25503388072221644
2,S1_conservative_simplex_stack,stack,452,0.00799969791960474,0.24731677234666638,0.012194180607762447,0.07999697919604741,0.026535677121441927,0.38001286896177067,0.2603053147807669
2,B2_month_residual_pmf,residual_pmf,452,0.008042021831881596,0.2506066260238445,0.012272938173654973,0.08042021831881599,0.029714533456404516,0.39473190677164854,0.26755375224291655
2,B1_global_residual_pmf,residual_pmf,452,0.008116440424453013,0.24755024964798442,0.01245181401166729,0.08116440424453014,0.03988628472451792,0.3365834339424805,0.211317430831459
2,C1_multinomial_ridge,direct_classifier,452,0.00824111716954349,0.2506237327301652,0.012501863232261537,0.08241117169543491,0.03443535355476112,0.30042602323050677,0.2473438169705654
2,P2_student_t_mos,mos,452,0.00829332915068813,0.2502841872680649,0.01260542982250009,0.08293329150688132,0.039623381798173186,0.5553851183118891,0.21876213911239062
2,P1_normal_mos,mos,452,0.00831535804726682,0.2481704861272254,0.012610719424239763,0.08315358047266821,0.042570350522218144,0.5565654748308686,0.19666724218150108
2,C2_ordinal_cdf_logistic,direct_classifier,452,0.008435917772847891,0.25540435941289946,0.012697370980671308,0.08435917772847891,0.03156571388938939,0.23317977200723117,0.24430702173982222
2,B6_month_climatology_diagnostic,diagnostic,452,0.01589989011530351,0.4767785399674479,0.01938066159379406,0.15899890115303497,0.040845769955026645,0.040845769955026645,0.34035463236007074
2,B0_climatology,baseline,452,0.13810135007500524,1.1638198568248561,0.0439998581517794,1.3810135007500521,0.487789732519203,0.5215260375812241,2.0101688791414323
3,B5_kernel_analog_pmf,analog_pmf,496,0.028054984586901952,0.6959260836336645,0.03087074204120495,0.2805498458690196,0.028158569542887965,0.2599839201105202,0.7093824083645645
3,P2_student_t_mos,mos,496,0.02812768527385507,0.6946275610989892,0.030730851030667555,0.2812768527385507,0.030715473280102684,0.36561942152424715,0.6414889565275319
3,B2_month_residual_pmf,residual_pmf,496,0.028145076051681716,0.696003285221031,0.03051460625285092,0.2814507605168171,0.046671928799996355,0.2711307646929532,0.7178071482579708
3,B3_forecast_level_residual_pmf,residual_pmf,496,0.0281577923681127,0.6961031013074732,0.030701069857741726,0.281577923681127,0.04027574028553801,0.460716662541502,0.6561198071940308
3,S1_conservative_simplex_stack,stack,496,0.028179455425114,0.699177162064585,0.030678470350653048,0.28179455425114003,0.028023460769122318,0.0824098049565819,0.7082630689022574
3,C1_multinomial_ridge,direct_classifier,496,0.02819891139539124,0.6969066001590757,0.030966480895065315,0.2819891139539124,0.030354468019541878,0.22127998793624043,0.6661075757441169
3,B1_global_residual_pmf,residual_pmf,496,0.028210466947246198,0.6981834142558797,0.03059700975849822,0.282104669472462,0.03451958592110375,0.09889640226355462,0.6156660671399301
3,P1_normal_mos,mos,496,0.02822349610471713,0.6996789009179197,0.03077258023546035,0.2822349610471714,0.03190515401118017,0.14864112209822,0.6027860195545565
3,B4_hierarchical_residual_pmf,residual_pmf,496,0.028249989852514052,0.7008129089817785,0.03073816033789017,0.28249989852514046,0.02886694160907847,0.09657380882508587,0.7077552605647547
3,K0_B4_identity,calibration,496,0.028249989852514052,0.7008129089817785,0.03073816033789017,0.28249989852514046,0.02886694160907847,0.09657380882508587,0.7077552605647547
3,K2_B4_monotone_cdf_projected,calibration,496,0.028249989852514052,0.7008129089817785,0.03073816033789017,0.2824998985251405,0.028866941609078583,0.09657380882508593,0.7077552605647562
3,K1_B4_power_calibrated,calibration,496,0.028295202615297926,0.7016714099055815,0.030791348041927333,0.28295202615297926,0.026568567277428574,0.10004428779177932,0.7280274656493182
