target_year,target_month,cutoff_profile,rows
2014,1,t_minus_1_2100_hkt,27
2014,1,t_minus_1_2359_hkt,31
2014,2,t_minus_1_1800_hkt,21
2014,2,t_minus_1_2100_hkt,21
2014,2,t_minus_1_2359_hkt,28
2014,3,t_minus_1_1800_hkt,29
2014,3,t_minus_1_2100_hkt,29
2014,3,t_minus_1_2359_hkt,31
2014,4,t_minus_1_1800_hkt,29
2014,4,t_minus_1_2100_hkt,29
2014,4,t_minus_1_2359_hkt,30
2014,5,t_minus_1_1800_hkt,31
2014,5,t_minus_1_2100_hkt,31
2014,5,t_minus_1_2359_hkt,31
2014,6,t_minus_1_1800_hkt,29
2014,6,t_minus_1_2100_hkt,29
2014,6,t_minus_1_2359_hkt,30
2014,7,t_minus_1_1800_hkt,29
2014,7,t_minus_1_2100_hkt,29
2014,7,t_minus_1_2359_hkt,31
2014,8,t_minus_1_1800_hkt,29
2014,8,t_minus_1_2100_hkt,30
2014,8,t_minus_1_2359_hkt,31
2014,9,t_minus_1_1800_hkt,29
2014,9,t_minus_1_2100_hkt,29
2014,9,t_minus_1_2359_hkt,30
2014,10,t_minus_1_1800_hkt,28
2014,10,t_minus_1_2100_hkt,28
2014,10,t_minus_1_2359_hkt,31
2014,11,t_minus_1_1800_hkt,27
2014,11,t_minus_1_2100_hkt,27
2014,11,t_minus_1_2359_hkt,30
2014,12,t_minus_1_1800_hkt,23
2014,12,t_minus_1_2100_hkt,23
2014,12,t_minus_1_2359_hkt,31
2015,1,t_minus_1_1800_hkt,28
2015,1,t_minus_1_2100_hkt,28
2015,1,t_minus_1_2359_hkt,31
2015,2,t_minus_1_1800_hkt,27
2015,2,t_minus_1_2100_hkt,27
2015,2,t_minus_1_2359_hkt,28
2015,3,t_minus_1_1800_hkt,29
2015,3,t_minus_1_2100_hkt,30
2015,3,t_minus_1_2359_hkt,31
2015,4,t_minus_1_1800_hkt,22
2015,4,t_minus_1_2100_hkt,22
2015,4,t_minus_1_2359_hkt,30
