bucket,one_vs_rest_brier,validation_split,method
27,0.04878068583343406,fold1,K1_B4_power_calibrated
28,0.05731284220950459,fold1,K1_B4_power_calibrated
29,0.060619456227677934,fold1,K1_B4_power_calibrated
30,0.057310076946573474,fold1,K1_B4_power_calibrated
31,0.057154857489329365,fold1,K1_B4_power_calibrated
32,0.06164169947857559,fold1,K1_B4_power_calibrated
33,0.030430136132923395,fold1,K1_B4_power_calibrated
34_or_higher,0.009007952742559142,fold1,K1_B4_power_calibrated
24_or_below,0.03456211069457879,fold1,K2_B4_monotone_cdf_projected
25,0.02857960405761715,fold1,K2_B4_monotone_cdf_projected
26,0.044294761798247845,fold1,K2_B4_monotone_cdf_projected
27,0.0488242590785729,fold1,K2_B4_monotone_cdf_projected
28,0.05741493662830648,fold1,K2_B4_monotone_cdf_projected
29,0.06058183656583862,fold1,K2_B4_monotone_cdf_projected
30,0.057374079783774325,fold1,K2_B4_monotone_cdf_projected
31,0.05720990209261277,fold1,K2_B4_monotone_cdf_projected
32,0.061534692308237396,fold1,K2_B4_monotone_cdf_projected
33,0.030389386367565,fold1,K2_B4_monotone_cdf_projected
34_or_higher,0.009000867222017471,fold1,K2_B4_monotone_cdf_projected
24_or_below,0.03461691452023327,fold1,S1_conservative_simplex_stack
25,0.02849006598369992,fold1,S1_conservative_simplex_stack
26,0.04435885476215446,fold1,S1_conservative_simplex_stack
27,0.04882748512378535,fold1,S1_conservative_simplex_stack
28,0.057305854569972434,fold1,S1_conservative_simplex_stack
29,0.060571725710109534,fold1,S1_conservative_simplex_stack
30,0.05739522749877782,fold1,S1_conservative_simplex_stack
31,0.05709688911163186,fold1,S1_conservative_simplex_stack
32,0.06147699573369251,fold1,S1_conservative_simplex_stack
33,0.03048505951443398,fold1,S1_conservative_simplex_stack
34_or_higher,0.008906642870163354,fold1,S1_conservative_simplex_stack
24_or_below,0.23773751776745855,fold2,B0_climatology
25,0.037744678341377395,fold2,B0_climatology
26,0.0444869195128776,fold2,B0_climatology
27,0.03824505011912958,fold2,B0_climatology
28,0.06310703961311817,fold2,B0_climatology
29,0.06626599768927698,fold2,B0_climatology
30,0.06934959080218454,fold2,B0_climatology
31,0.07474785411493509,fold2,B0_climatology
32,0.09154136717241812,fold2,B0_climatology
33,0.05999939263880892,fold2,B0_climatology
34_or_higher,0.027029674561981153,fold2,B0_climatology
24_or_below,0.030586868098383756,fold2,B1_global_residual_pmf
25,0.03091147036430433,fold2,B1_global_residual_pmf
26,0.03603148921097784,fold2,B1_global_residual_pmf
27,0.033775766428964675,fold2,B1_global_residual_pmf
28,0.052929027952169416,fold2,B1_global_residual_pmf
29,0.055269922953780616,fold2,B1_global_residual_pmf
30,0.0568208681089887,fold2,B1_global_residual_pmf
31,0.06077302641301065,fold2,B1_global_residual_pmf
32,0.06693103625132121,fold2,B1_global_residual_pmf
33,0.043339627215529135,fold2,B1_global_residual_pmf
34_or_higher,0.019812899770669006,fold2,B1_global_residual_pmf
24_or_below,0.02974096796574888,fold2,B2_month_residual_pmf
25,0.030541618751739146,fold2,B2_month_residual_pmf
26,0.03568041799884267,fold2,B2_month_residual_pmf
27,0.03481253921704779,fold2,B2_month_residual_pmf
28,0.05220026570963902,fold2,B2_month_residual_pmf
29,0.05524693305913088,fold2,B2_month_residual_pmf
30,0.05773501900227142,fold2,B2_month_residual_pmf
31,0.061270248633789506,fold2,B2_month_residual_pmf
32,0.06680348618241566,fold2,B2_month_residual_pmf
33,0.04280253801840787,fold2,B2_month_residual_pmf
34_or_higher,0.019719616253334973,fold2,B2_month_residual_pmf
24_or_below,0.030168204140875014,fold2,B3_forecast_level_residual_pmf
25,0.03109935944786203,fold2,B3_forecast_level_residual_pmf
