validation_split,method,coverage90,mean_width90_buckets
fold1__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected,0.9646821392532795,3.4904137235116046
fold1__t_minus_1_2100_hkt,S1_conservative_simplex_stack,0.9656912209889001,3.506559031281534
fold2__t_minus_1_2100_hkt,B0_climatology,0.9089048106448311,9.0
fold2__t_minus_1_2100_hkt,B1_global_residual_pmf,0.9682702149437052,3.5731832139201636
fold2__t_minus_1_2100_hkt,B2_month_residual_pmf,0.9662231320368475,3.4728761514841353
fold2__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.9713408393039918,3.5322415557830094
fold2__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.9692937563971341,3.445240532241556
fold2__t_minus_1_2100_hkt,B5_kernel_analog_pmf,0.9641760491299898,3.3879222108495393
fold2__t_minus_1_2100_hkt,B6_month_climatology_diagnostic,0.9314227226202662,5.26100307062436
fold2__t_minus_1_2100_hkt,P1_normal_mos,0.977482088024565,3.946775844421699
fold2__t_minus_1_2100_hkt,P2_student_t_mos,0.9897645854657113,4.147389969293757
fold2__t_minus_1_2100_hkt,C1_multinomial_ridge,0.9744114636642784,3.7236438075742067
fold2__t_minus_1_2100_hkt,C2_ordinal_cdf_logistic,0.9713408393039918,3.894575230296827
fold2__t_minus_1_2100_hkt,K0_B4_identity,0.9692937563971341,3.445240532241556
fold2__t_minus_1_2100_hkt,K1_B4_power_calibrated,0.9764585465711362,3.5506653019447287
fold2__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected,0.9692937563971341,3.445240532241556
fold2__t_minus_1_2100_hkt,S1_conservative_simplex_stack,0.9754350051177073,3.5527123848515867
fold3__t_minus_1_2100_hkt,B0_climatology,0.9086395233366436,9.0
fold3__t_minus_1_2100_hkt,B1_global_residual_pmf,0.9692154915590864,3.6653426017874877
fold3__t_minus_1_2100_hkt,B2_month_residual_pmf,0.9622641509433962,3.5342601787487586
fold3__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.9702085402184707,3.591857000993049
fold3__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.9642502482621649,3.579940417080437
fold3__t_minus_1_2100_hkt,B5_kernel_analog_pmf,0.9662363455809335,3.503475670307845
fold3__t_minus_1_2100_hkt,B6_month_climatology_diagnostic,0.9255213505461768,5.479642502482622
fold3__t_minus_1_2100_hkt,P1_normal_mos,0.9781529294935452,3.9831181727904665
fold3__t_minus_1_2100_hkt,P2_student_t_mos,0.9860973187686196,4.23038728897716
fold3__t_minus_1_2100_hkt,C1_multinomial_ridge,0.9761668321747765,3.8152929493545185
fold3__t_minus_1_2100_hkt,C2_ordinal_cdf_logistic,0.9791459781529295,4.004965243296922
fold3__t_minus_1_2100_hkt,K0_B4_identity,0.9642502482621649,3.579940417080437
fold3__t_minus_1_2100_hkt,K1_B4_power_calibrated,0.9642502482621649,3.592850049652433
fold3__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected,0.9642502482621649,3.579940417080437
fold3__t_minus_1_2100_hkt,S1_conservative_simplex_stack,0.9642502482621649,3.5342601787487586
fold4__t_minus_1_2100_hkt,B0_climatology,0.9528718703976435,10.0
fold4__t_minus_1_2100_hkt,B1_global_residual_pmf,0.9617083946980854,3.7010309278350517
fold4__t_minus_1_2100_hkt,B2_month_residual_pmf,0.9499263622974963,3.536082474226804
fold4__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.946980854197349,3.602356406480118
fold4__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.9572901325478645,3.5802650957290134
fold4__t_minus_1_2100_hkt,B5_kernel_analog_pmf,0.9543446244477173,3.5331369661266567
fold4__t_minus_1_2100_hkt,B6_month_climatology_diagnostic,0.8851251840942562,5.410898379970545
fold4__t_minus_1_2100_hkt,P1_normal_mos,0.9764359351988218,3.995581737849779
fold4__t_minus_1_2100_hkt,P2_student_t_mos,0.9882179675994109,4.293078055964654
fold4__t_minus_1_2100_hkt,C1_multinomial_ridge,0.9690721649484536,3.8203240058910164
fold4__t_minus_1_2100_hkt,C2_ordinal_cdf_logistic,0.9764359351988218,4.0
fold4__t_minus_1_2100_hkt,K0_B4_identity,0.9572901325478645,3.5802650957290134
fold4__t_minus_1_2100_hkt,K1_B4_power_calibrated,0.9646539027982327,3.703976435935199
fold4__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected,0.9572901325478645,3.5802650957290134
fold4__t_minus_1_2100_hkt,S1_conservative_simplex_stack,0.9602356406480118,3.586156111929308
presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology,0.9250374812593704,10.0
presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf,0.9820089955022488,3.580209895052474
presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf,0.9640179910044977,3.4047976011994003
presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.9835082458770614,3.6806596701649177
presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.9715142428785607,3.4887556221889056
presealed_2022_2023__t_minus_1_2100_hkt,B5_kernel_analog_pmf,0.9790104947526237,3.4707646176911546
presealed_2022_2023__t_minus_1_2100_hkt,B6_month_climatology_diagnostic,0.9280359820089955,5.541229385307346
presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos,0.9880059970014993,3.8305847076461768
presealed_2022_2023__t_minus_1_2100_hkt,P2_student_t_mos,0.9955022488755623,4.1544227886056975
presealed_2022_2023__t_minus_1_2100_hkt,C1_multinomial_ridge,0.9850074962518741,3.707646176911544
presealed_2022_2023__t_minus_1_2100_hkt,C2_ordinal_cdf_logistic,0.9895052473763118,3.9385307346326837
presealed_2022_2023__t_minus_1_2100_hkt,K0_B4_identity,0.9715142428785607,3.4887556221889056
presealed_2022_2023__t_minus_1_2100_hkt,K1_B4_power_calibrated,0.9730134932533733,3.5172413793103448
presealed_2022_2023__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected,0.9715142428785607,3.4887556221889056
presealed_2022_2023__t_minus_1_2100_hkt,S1_conservative_simplex_stack,0.9715142428785607,3.4857571214392804
sealed_2024_2026_05__t_minus_1_2100_hkt,B0_climatology,0.9504563233376793,10.0
sealed_2024_2026_05__t_minus_1_2100_hkt,B1_global_residual_pmf,0.9661016949152542,3.6310299869621905
sealed_2024_2026_05__t_minus_1_2100_hkt,B2_month_residual_pmf,0.9687092568448501,3.5827900912646675
sealed_2024_2026_05__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.9778357235984355,3.653194263363755
sealed_2024_2026_05__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.9752281616688396,3.6544980443285526
sealed_2024_2026_05__t_minus_1_2100_hkt,B5_kernel_analog_pmf,0.9726205997392438,3.5436766623207303
sealed_2024_2026_05__t_minus_1_2100_hkt,B6_month_climatology_diagnostic,0.9087353324641461,5.598435462842242
sealed_2024_2026_05__t_minus_1_2100_hkt,P1_normal_mos,0.9765319426336375,3.8696219035202084
