source,issue_day_utc,cycle_hour,lead_hour_requested,issued_at_utc,valid_at_utc_expected,availability_proxy_utc,station_id,station_name,2t_heightaboveground_instant_degc,2d_heightaboveground_instant_degc,tmax_heightaboveground_max_degc,tmin_heightaboveground_min_degc,2r_heightaboveground_instant,prmsl_meansea_instant_hpa,tcc_atmosphere_instant,tcc_atmosphere_avg,10u_heightaboveground_instant_m_s_1,10v_heightaboveground_instant_m_s_1,gust_surface_instant_m_s_1,tp_surface_accum_kg_m_2,sdswrf_surface_avg_w_m_2,cape_surface_instant_j_kg_1,cin_surface_instant_j_kg_1
gefs_control,2026-07-07,18,6,2026-07-07T18:00:00Z,2026-07-08T00:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.949975585937523,24.810906982421898,28.083795166015648,27.168756103515648,83.19334411621094,1006.884453125,,34.0,-0.2597265541553497,6.445927619934082,10.11081600189209,8.199999809265137,61.98400115966797,1151.0,-6.474365234375
gefs_control,2026-07-07,18,9,2026-07-07T18:00:00Z,2026-07-08T03:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.932916259765648,24.966760253906276,28.952478027343773,27.9829040527344,79.68544006347656,1007.169140625,,64.0,-0.3549951314926147,5.748281478881836,8.851181030273438,3.0999999046325684,656.4000244140625,1390.0,-1.115478515625
gefs_control,2026-07-07,18,12,2026-07-07T18:00:00Z,2026-07-08T06:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,29.364404296875023,25.088586425781276,29.394097900390648,27.974755859375023,79.01779174804688,1006.2665625,,50.0,-1.410800814628601,5.667715072631836,8.831636428833008,4.099999904632568,796.864013671875,1620.0,-1.895263671875
gefs_control,2026-07-07,18,15,2026-07-07T18:00:00Z,2026-07-08T09:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,29.127404785156276,25.2531677246094,29.4684997558594,29.029260253906276,80.31879425048828,1004.74859375,,27.0,-0.96746826171875,6.094098091125488,9.254307746887209,1.100000023841858,669.4600219726562,1607.0,-0.2689208984375
gefs_control,2026-07-07,18,18,2026-07-07T18:00:00Z,2026-07-08T12:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.515069580078148,25.5825134277344,29.494500732421898,28.382531738281276,84.60940551757812,1005.57078125,,14.0,-1.5004425048828125,4.938885688781738,8.25079345703125,2.0999999046325684,396.1759948730469,1749.0,-0.462646484375
gefs_control,2026-07-07,18,21,2026-07-07T18:00:00Z,2026-07-08T15:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.207086181640648,25.607080078125023,28.5070739746094,28.250024414062523,85.802001953125,1006.907265625,,17.0,-1.5445983409881592,4.474734306335449,7.202019691467285,0.2000000029802322,0.0,1786.0,-1.86376953125
gefs_control,2026-07-07,18,24,2026-07-07T18:00:00Z,2026-07-08T18:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.888024902343773,25.242028808593773,28.567834472656276,27.949975585937523,85.40483093261719,1005.40015625,,18.0,-0.280120849609375,4.422619819641113,7.30303144454956,0.5,0.0,1427.0,-1.42041015625
gefs_control,2026-07-07,18,27,2026-07-07T18:00:00Z,2026-07-08T21:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.649987792968773,25.2499938964844,27.911981201171898,27.690789794921898,86.56814575195312,1005.09609375,,18.0,0.3600524961948395,3.202056884765625,5.60701847076416,0.2000000029802322,0.0,1476.0,-1.760498046875
gefs_control,2026-07-07,18,30,2026-07-07T18:00:00Z,2026-07-09T00:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.147607421875023,24.689080810546898,28.2499938964844,27.530786132812523,81.91730499267578,1005.47734375,,43.0,-0.4679077267646789,2.379754543304444,3.738583087921143,1.7999999523162842,59.040000915527344,1014.0,-2.4114990234375
gefs_control,2026-07-07,18,33,2026-07-07T18:00:00Z,2026-07-09T03:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,29.099206542968773,23.950006103515648,29.156549072265648,28.149194335937523,74.45787811279297,1005.911875,,88.0,-1.108856201171875,2.230099439620972,3.050652980804444,1.0,617.4240112304688,754.0,-2.546875
gefs_control,2026-07-07,18,36,2026-07-07T18:00:00Z,2026-07-09T06:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,29.698388671875023,23.813867187500023,29.856530761718773,28.045281982421898,72.23967742919922,1003.633515625,,86.0,-1.4734008312225342,3.258065700531006,4.128871440887451,1.0,746.1279907226562,613.0,-15.7979736328125
gefs_control,2026-07-07,18,39,2026-07-07T18:00:00Z,2026-07-09T09:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,29.315057373046898,23.882531738281276,29.780114746093773,29.147576904296898,73.10530090332031,1002.58328125,,0.0,-0.4213806092739105,3.783416748046875,4.3421149253845215,0.0,682.239990234375,524.0,-30.7633056640625
gefs_control,2026-07-07,18,42,2026-07-07T18:00:00Z,2026-07-09T12:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.724206542968773,24.024194335937523,29.915063476562523,28.547570800781276,76.4000015258789,1003.646875,,0.0,-0.0073120119050145,2.3902831077575684,2.8028769493103027,0.0,402.8320007324219,416.0,-48.0384521484375
gefs_control,2026-07-07,18,45,2026-07-07T18:00:00Z,2026-07-09T15:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.3622985839844,24.362329101562523,28.731256103515648,28.357049560546898,79.28164672851562,1005.073515625,,36.0,-0.0767578110098838,2.432507276535034,2.953381299972534,0.0,0.0,531.0,-39.103271484375
gefs_control,2026-07-07,18,48,2026-07-07T18:00:00Z,2026-07-09T18:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.801934814453148,24.736291503906276,28.774621582031276,27.856286621093773,83.4742660522461,1003.68109375,,68.0,0.1263549774885177,2.276165723800659,2.806739568710327,0.0,0.0,979.0,-3.1898193359375
gfs,2026-07-07,18,3,2026-07-07T18:00:00Z,2026-07-07T21:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.2858825683594,24.8930603027344,27.439294433593773,26.885888671875023,87.0999984741211,1006.800234375,32.79999923706055,60.0,0.1108544915914535,5.598759651184082,9.126978874206545,4.1875,0.0,1256.0,-1.993408203125
gfs,2026-07-07,18,6,2026-07-07T18:00:00Z,2026-07-08T00:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.374688720703148,24.918542480468773,27.7499938964844,26.885888671875023,86.0,1007.51,76.80000305175781,57.59999847412109,-0.3269384801387787,5.588237285614014,8.399999618530273,8.5,59.152000427246094,1087.0,-2.749267578125
gfs,2026-07-07,18,9,2026-07-07T18:00:00Z,2026-07-08T03:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.1791931152344,25.149987792968773,28.4343200683594,27.350000000000023,83.69999694824219,1007.473984375,87.5999984741211,99.1999969482422,-1.4053223133087158,5.374477386474609,8.213879585266113,2.6875,637.8400268554688,1551.0,-0.9298095703125
gfs,2026-07-07,18,12,2026-07-07T18:00:00Z,2026-07-08T06:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.662561035156276,25.2272888183594,28.833581542968773,27.350000000000023,81.9000015258789,1006.47203125,92.0999984741211,94.3000030517578,-1.3235046863555908,5.201001167297363,8.21473503112793,4.375,773.2639770507812,1532.0,-2.29443359375
gfs,2026-07-07,18,15,2026-07-07T18:00:00Z,2026-07-08T09:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.479150390625023,25.130700683593773,28.9448181152344,28.111352539062523,81.80000305175781,1005.10703125,88.4000015258789,100.0,-2.0080718994140625,5.199084281921387,8.214147567749023,2.375,582.52001953125,1415.0,-0.74609375
gfs,2026-07-07,18,18,2026-07-07T18:00:00Z,2026-07-08T12:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.887414550781276,25.5886169433594,28.971551513671898,27.630700683593773,86.9000015258789,1005.836015625,2.799999952316284,67.9000015258789,-2.1202454566955566,4.520138740539551,7.900000095367432,3.5,344.79998779296875,1688.0,-0.1494140625
gfs,2026-07-07,18,21,2026-07-07T18:00:00Z,2026-07-08T15:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.261407470703148,25.155175781250023,27.8984313964844,27.297204589843773,88.0,1006.559375,7.900000095367432,5.5,-1.975494384765625,4.286089897155762,7.212326526641846,3.5,0.0,1107.0,-2.7109375
gfs,2026-07-07,18,24,2026-07-07T18:00:00Z,2026-07-08T18:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.172448730468773,24.955926513671898,27.8984313964844,26.997186279296898,87.80000305175781,1005.15375,38.79999923706055,15.300000190734863,0.703643798828125,4.294268608093262,6.412577629089356,9.625,0.0,1065.0,-1.6370849609375
gfs,2026-07-07,18,27,2026-07-07T18:00:00Z,2026-07-08T21:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,26.820123291015648,24.542504882812523,27.272424316406276,26.748986816406276,87.19999694824219,1004.782578125,86.69999694824219,67.5,-0.3877807557582855,2.5623841285705566,3.3072938919067383,3.0,0.0,925.0,-2.7838134765625
gfs,2026-07-07,18,30,2026-07-07T18:00:00Z,2026-07-09T00:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.263269042968773,24.150018310546898,27.495202636718773,26.663293457031276,83.19999694824219,1006.255859375,91.0999984741211,81.19999694824219,-0.9188781976699828,2.7483367919921875,3.612577438354492,7.0625,54.959999084472656,644.0,-2.543701171875
gfs,2026-07-07,18,33,2026-07-07T18:00:00Z,2026-07-09T03:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.422326660156276,24.370874023437523,28.350000000000023,27.291711425781276,78.5999984741211,1006.5096875,12.600000381469728,73.9000015258789,-1.994775414466858,2.438018798828125,3.903210401535034,1.1875,654.7520141601562,853.0,-0.5155029296875
gfs,2026-07-07,18,36,2026-07-07T18:00:00Z,2026-07-09T06:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.7499938964844,24.149987792968773,28.873620605468773,27.229119873046898,76.30000305175781,1004.304140625,1.899999976158142,45.70000076293945,-1.825958251953125,3.28314208984375,4.00966215133667,1.1875,801.8560180664062,803.0,-1.0211181640625
gfs,2026-07-07,18,39,2026-07-07T18:00:00Z,2026-07-09T09:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.670861816406276,23.850000000000023,29.117486572265648,28.450006103515648,74.69999694824219,1003.172109375,3.5999999046325684,11.0,-0.647174060344696,3.1008543968200684,3.3039140701293945,0.0,674.8400268554688,492.0,-6.1051025390625
gfs,2026-07-07,18,42,2026-07-07T18:00:00Z,2026-07-09T12:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,28.202325439453148,24.2499938964844,29.070855712890648,27.902307128906276,79.30000305175781,1004.3721875,5.0,7.5,-0.438586413860321,1.868890404701233,2.312962293624878,0.0,398.76800537109375,562.0,-6.9969482421875
gfs,2026-07-07,18,45,2026-07-07T18:00:00Z,2026-07-09T15:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.717980957031276,24.750024414062523,28.174371337890648,27.715722656250023,83.69999694824219,1004.858125,100.0,69.19999694824219,-1.0586669445037842,1.699676513671875,2.519512891769409,0.0,0.0,891.0,-1.924560546875
gfs,2026-07-07,18,48,2026-07-07T18:00:00Z,2026-07-09T18:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.397393798828148,24.797387695312523,28.197717285156276,27.397424316406276,85.9000015258789,1003.232265625,15.0,73.69999694824219,0.333148181438446,0.8251953125,1.3021103143692017,0.0,0.0,1009.0,-1.267822265625
