experiment_folder,file_count,total_bytes,read_pass_count,parse_pass_count,extensions_json
0132_wind_field_kinematics,50,476731,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 5, ""[none]"": 1}"
0133_moisture_flux_convergence,50,479004,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0134_flow_conditioned_transport_arrival,50,468248,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0135_sea_breeze_penetration,50,1518286,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0136_cool_surge_propagation_breakdown,50,1502203,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 15, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0137_spatial_field_topology,50,515770,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 15, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0138_station_contribution_shapley,50,497951,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 5, ""[none]"": 1}"
0139_static_station_context_store,53,349448,53,53,"{"".csv"": 21, "".json"": 5, "".md"": 16, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0140_station_role_clustering,50,478994,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 15, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0141_flow_relative_fetch_index,50,506766,50,50,"{"".csv"": 20, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 5, ""[none]"": 1}"
0142_elevation_downslope_realization,50,1475511,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0143_coastline_orientation_exposure,50,481714,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0144_physics_graph_kernels,50,507556,50,50,"{"".csv"": 21, "".json"": 5, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0145_surface_enthalpy_network,50,1460404,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 15, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0146_dry_heating_potential,50,1518267,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0147_dewpoint_tendency_wind_advection,50,1468191,50,50,"{"".csv"": 20, "".json"": 4, "".md"": 15, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0148_antecedent_wetness_recovery,50,1589374,50,50,"{"".csv"": 20, "".json"": 4, "".md"": 15, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0149_radiative_suppression_proxy,50,1622858,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0150_solar_tmax_efficiency,49,587066,49,49,"{"".csv"": 20, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0151_visibility_haze_proxy,50,1468140,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0152_urban_heat_storage_hysteresis,50,1470969,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0153_hgt1000_safe_proxy,51,1596439,51,51,"{"".csv"": 22, "".json"": 4, "".md"": 15, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0154_inversion_safe_proxy,50,591402,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0155_heat_content_safe_proxy,50,1579316,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0156_moisture_profile_safe_proxy,50,603953,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0157_shear_veering_safe_proxy,49,587104,49,49,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0158_marine_temperature_safe_proxy,50,1589733,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0159_tc_regime_safe_proxy,50,1618794,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0160_timestamp_proof_shadow_latency,52,317205,52,52,"{"".csv"": 20, "".json"": 4, "".jsonl"": 1, "".md"": 16, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0161_expanded_online_memory_replay,51,783942,51,51,"{"".csv"": 21, "".json"": 4, "".md"": 15, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0162_hierarchical_online_memory,49,805225,49,49,"{"".csv"": 19, "".json"": 4, "".md"": 14, "".parquet"": 6, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0163_residual_streak_momentum,49,858091,49,49,"{"".csv"": 20, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0164_forecast_revision_path,50,1495728,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0165_forecast_text_ontology,51,593111,51,51,"{"".csv"": 20, "".json"": 4, "".md"": 15, "".parquet"": 5, "".py"": 1, "".yaml"": 5, ""[none]"": 1}"
0166_forecast_consistency_contradiction,50,1627398,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0167_forecast_range_trust_calibration,50,1567500,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 15, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0168_forecast_quality_state,50,552480,50,50,"{"".csv"": 20, "".json"": 4, "".md"": 15, "".parquet"": 4, "".py"": 1, "".yaml"": 5, ""[none]"": 1}"
0169_press_rss_invariant_calibration,50,795372,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 15, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0170_uplift_abstaining_router,50,1022677,50,50,"{"".csv"": 20, "".json"": 4, "".md"": 14, "".parquet"": 6, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0171_mam_transition_phase,51,1574699,51,51,"{"".csv"": 22, "".json"": 4, "".md"": 15, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0172_cool_surge_breakdown_specialist,50,856952,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0173_humid_maritime_cloudbreak_specialist,50,799823,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0174_weak_wind_heat_buildup,50,727483,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0175_marine_vs_inland_duel,50,670536,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0176_tc_quadrant_transition_specialist,50,851441,50,50,"{"".csv"": 20, "".json"": 4, "".md"": 15, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0177_extreme_error_precursor,51,727674,51,51,"{"".csv"": 22, "".json"": 4, "".md"": 15, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0178_signed_tail_action_specialists,50,1068246,50,50,"{"".csv"": 19, "".json"": 4, "".md"": 14, "".parquet"": 7, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0179_hf_morning_heating_curves,51,1012237,51,51,"{"".csv"": 21, "".json"": 4, "".md"": 16, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0180_hf_spatial_propagation,50,3918413,50,50,"{"".csv"": 20, "".json"": 4, "".md"": 15, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0181_hf_since_midnight_ceiling,49,1047275,49,49,"{"".csv"": 19, "".json"": 4, "".md"": 15, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
