revision_direction,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
flat,K2_B4_monotone_cdf_projected,calibration,5388,0.04205512619052719,1.046061792817922,0.04633179917738986,0.4205512619052719,0.020789096251618792,0.04939217112742572,1.018022781432868
flat,T1_time_decay_b4,time_decay_residual_pmf,5388,0.04207521982617574,1.0420203654703049,0.046392644892542474,0.42075219826175747,0.007908118246564254,0.05906209189807454,1.0371853620220175
flat,B3_forecast_level_residual_pmf,residual_pmf,5388,0.04220317335913291,1.0486371793128413,0.046437525689145595,0.4220317335913291,0.012118969989128408,0.10726838667943295,1.0246833922883487
flat,E2_student_t_emos,emos,5388,0.04223238937564217,1.0588817850918597,0.046621561532563104,0.42232389375642165,0.024484176674954193,0.2988875409325,1.0378668713702905
flat,B2_month_residual_pmf,residual_pmf,5388,0.04227124265715278,1.0503350145710306,0.04647208383345091,0.42271242657152786,0.01418891589580234,0.13103527613195876,1.0453967396840746
flat,B1_global_residual_pmf,residual_pmf,5388,0.042281594812751344,1.0512157006288618,0.046587663475131366,0.42281594812751355,0.018262132339924436,0.1011242573817529,1.0524311483463635
flat,P1_normal_mos,mos,5388,0.042305689782265905,1.0510114460863076,0.04667489660596904,0.423056897822659,0.025239999189691727,0.12292427914572968,1.0627799358693204
flat,P2_student_t_mos,mos,5388,0.0423865950097949,1.0559945639215698,0.04672600827752316,0.42386595009794903,0.03374578865770698,0.1100807989026168,1.11124148232979
flat,E1_normal_emos,emos,5388,0.04291437537960607,1.1109337906951764,0.04723806351733936,0.42914375379606073,0.05051963065604541,0.12119996251125531,0.8430946238720934
flat,C1_multinomial_ridge,direct_classifier,5388,0.043055812067494585,1.0630984619637072,0.04707231819350184,0.43055812067494587,0.011085370432267297,0.04953984170805392,1.0865862877919088
flat,C2_ordinal_cdf_logistic,direct_classifier,5388,0.04345620103961656,1.0740370168832356,0.04723465576326373,0.43456201039616554,0.019807083262146388,0.10318218396209905,1.115354583042622
flat,G1_gamlss_tree_location_scale,gamlss_tree,5388,0.04347889652715553,1.179888662247012,0.04802696801766271,0.4347889652715553,0.07731036957214173,0.16044017811826494,0.7653975966141116
flat,E3_two_piece_normal_emos,emos,5388,0.0443680444847913,1.292689562837231,0.049205689893478996,0.443680444847913,0.09701352125327324,0.6083094611834582,0.7030241226227577
flat,Q2_threshold_cdf_gb,threshold_cdf,5388,0.047443306712123684,1.1718403941164515,0.047514709357653666,0.4744330671212369,0.03915773819720375,0.10006238619995922,1.3710511635444569
flat,Q1_quantile_cdf_gb,quantile_cdf,5388,0.06853966910938616,1.3250986452611402,0.05119208777416595,0.6853966910938618,0.12266431446170203,0.21711241735474893,1.661700316952301
flat,B6_month_climatology_diagnostic,diagnostic,5388,0.0862955750659247,1.5619190726125654,0.05829721185120818,0.862955750659247,0.05980671077656009,0.1807987401082402,1.3730238574713858
flat,B0_climatology,baseline,5388,0.195360074137284,2.1292061007308165,0.07536034751261111,1.95360074137284,0.036253754727897734,0.04831286656748679,2.0087134669838025
up,E2_student_t_emos,emos,147,0.03326395170032534,0.8632856655635075,0.03779447906252109,0.3326395170032534,0.04228288916042848,0.36083362593560353,0.907958170624334
up,E1_normal_emos,emos,147,0.03339924836953454,0.8767577847138285,0.03784917135658088,0.3339924836953455,0.029492823424729437,0.7589384695461742,0.7228205121380946
up,B3_forecast_level_residual_pmf,residual_pmf,147,0.03355379534169674,0.8601803700914641,0.037996881272853715,0.33553795341696735,0.05416147858437437,0.710716662541502,0.9150181655700715
up,P1_normal_mos,mos,147,0.03359042777696163,0.8635274873654233,0.038493532132434394,0.3359042777696163,0.06139827952685686,0.19779391201954538,0.9083803451027185
up,P2_student_t_mos,mos,147,0.033724358765588575,0.870829198067584,0.038567448407440516,0.33724358765588575,0.06656098963835927,0.410546058034234,0.9554001573036001
up,B2_month_residual_pmf,residual_pmf,147,0.03372555879032446,0.8689574851216387,0.03811789707551897,0.3372555879032446,0.055984796662617936,0.4134684206838474,0.924801951015166
up,G1_gamlss_tree_location_scale,gamlss_tree,147,0.03378608173193045,0.9341953192167662,0.03794867641218879,0.3378608173193045,0.040280846763031175,0.5272117494662938,0.6806953439705286
up,T1_time_decay_b4,time_decay_residual_pmf,147,0.03393722926993049,0.861398913011771,0.03806723237367569,0.33937229269930497,0.045611711996103296,0.3564004694206323,0.9136831558220988
up,B5_kernel_analog_pmf,analog_pmf,147,0.03399718425665465,0.8813558392332345,0.0385515152998208,0.33997184256654656,0.05970313704669192,0.2351729346153767,0.9075454106131616
up,H1_b4_challenger_linear_pool,hybrid_pool,147,0.034000778760549764,0.8708664278392837,0.03818859600366445,0.34000778760549766,0.06569373518460252,0.5084824873211501,0.9117286795129612
up,S1_conservative_simplex_stack,stack,147,0.0340714328362629,0.8689497203876564,0.038299378133718975,0.3407143283626289,0.07274671201674256,0.4376734560526255,0.9289931563791375
up,B1_global_residual_pmf,residual_pmf,147,0.03409473960163859,0.8728959569864865,0.038396979784267475,0.34094739601638596,0.04139567801497558,0.2671242055879771,0.916715734789797
up,C2_ordinal_cdf_logistic,direct_classifier,147,0.034118648925534394,0.9112561683723183,0.039469749703576314,0.3411864892553439,0.04044800240217762,0.34513047956065335,0.9837069249560657
up,E3_two_piece_normal_emos,emos,147,0.0342417843001831,0.9904317985054646,0.03870347057628221,0.3424178430018309,0.051040920714935024,0.7952785180123508,0.6014016716696148
up,B4_hierarchical_residual_pmf,residual_pmf,147,0.03424755297288743,0.8692981234109199,0.0383373983311695,0.3424755297288743,0.06394000186653766,0.4425110978251043,0.9166053909880733
up,K0_B4_identity,calibration,147,0.03424755297288743,0.8692981234109199,0.0383373983311695,0.3424755297288743,0.06394000186653766,0.4425110978251043,0.9166053909880733
up,K2_B4_monotone_cdf_projected,calibration,147,0.03424755297288743,0.8692981234109199,0.0383373983311695,0.3424755297288743,0.06394000186653774,0.4425110978251043,0.9166053909880745
up,K1_B4_power_calibrated,calibration,147,0.03433654938950526,0.8721201540435614,0.03841389926869983,0.34336549389505255,0.07781098214198032,0.6379143170067215,0.9347216067298739
up,C1_multinomial_ridge,direct_classifier,147,0.034596574800043266,0.9222812632051357,0.04024320243889815,0.34596574800043267,0.05595003886758739,0.638159885027884,0.9453536647420114
up,Q2_threshold_cdf_gb,threshold_cdf,147,0.037272802564695846,0.9474412391983935,0.03903589807103742,0.37272802564695845,0.10903671734124806,0.2948194004143897,1.2700670347004002
up,Q1_quantile_cdf_gb,quantile_cdf,147,0.04715356824775979,1.081435491443353,0.04277271651230884,0.471535682477598,0.1291157681909866,0.32988856400020206,1.5082846323026866
up,B6_month_climatology_diagnostic,diagnostic,147,0.07110177986030217,1.30789966724717,0.05010659211069486,0.7110177986030218,0.06802695255087296,0.1899637125753606,1.249469452543074
up,B0_climatology,baseline,147,0.1547388054703877,1.8813573648593942,0.06883121455789934,1.547388054703877,0.0646376048641882,0.10186041116444683,2.0076706622170275
