validation_split,base_method,weight,stack
sealed_2024_2026_05__t_minus_1_1800_hkt,C1_multinomial_ridge,0.028331398930358583,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.5,H1_b4_challenger_linear_pool
sealed_2024_2026_05__t_minus_1_1800_hkt,T1_time_decay_b4,0.5,H1_b4_challenger_linear_pool
fold1__t_minus_1_2100_hkt,B0_climatology,0.0,S1_conservative_simplex_stack
fold1__t_minus_1_2100_hkt,B1_global_residual_pmf,0.040796146280770045,S1_conservative_simplex_stack
fold1__t_minus_1_2100_hkt,B2_month_residual_pmf,0.02460849155213183,S1_conservative_simplex_stack
fold1__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.02362176154145451,S1_conservative_simplex_stack
fold1__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.85,S1_conservative_simplex_stack
fold1__t_minus_1_2100_hkt,P1_normal_mos,0.03507109230167532,S1_conservative_simplex_stack
fold1__t_minus_1_2100_hkt,C1_multinomial_ridge,0.025902508323968353,S1_conservative_simplex_stack
fold1__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.5,H1_b4_challenger_linear_pool
fold1__t_minus_1_2100_hkt,T1_time_decay_b4,0.5,H1_b4_challenger_linear_pool
fold2__t_minus_1_2100_hkt,B0_climatology,0.009735379710919586,S1_conservative_simplex_stack
fold2__t_minus_1_2100_hkt,B1_global_residual_pmf,0.023411697275958696,S1_conservative_simplex_stack
fold2__t_minus_1_2100_hkt,B2_month_residual_pmf,0.025559812767463448,S1_conservative_simplex_stack
fold2__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.03258402838069374,S1_conservative_simplex_stack
fold2__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.85,S1_conservative_simplex_stack
fold2__t_minus_1_2100_hkt,P1_normal_mos,0.026974402070388585,S1_conservative_simplex_stack
fold2__t_minus_1_2100_hkt,C1_multinomial_ridge,0.03173467979457597,S1_conservative_simplex_stack
fold2__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.9,H1_b4_challenger_linear_pool
fold2__t_minus_1_2100_hkt,Q2_threshold_cdf_gb,0.1,H1_b4_challenger_linear_pool
fold3__t_minus_1_2100_hkt,B0_climatology,3.2397316166582486e-17,S1_conservative_simplex_stack
fold3__t_minus_1_2100_hkt,B1_global_residual_pmf,0.03645500428072026,S1_conservative_simplex_stack
fold3__t_minus_1_2100_hkt,B2_month_residual_pmf,0.021086495698456924,S1_conservative_simplex_stack
fold3__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.03688213315601906,S1_conservative_simplex_stack
fold3__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.85,S1_conservative_simplex_stack
fold3__t_minus_1_2100_hkt,P1_normal_mos,0.03368164812365149,S1_conservative_simplex_stack
fold3__t_minus_1_2100_hkt,C1_multinomial_ridge,0.02189471874115225,S1_conservative_simplex_stack
fold3__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.5,H1_b4_challenger_linear_pool
fold3__t_minus_1_2100_hkt,T1_time_decay_b4,0.5,H1_b4_challenger_linear_pool
fold4__t_minus_1_2100_hkt,B0_climatology,0.0,S1_conservative_simplex_stack
fold4__t_minus_1_2100_hkt,B1_global_residual_pmf,0.03592058004571412,S1_conservative_simplex_stack
fold4__t_minus_1_2100_hkt,B2_month_residual_pmf,0.023170580855316054,S1_conservative_simplex_stack
fold4__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.03244344059779596,S1_conservative_simplex_stack
fold4__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.8500000000000002,S1_conservative_simplex_stack
fold4__t_minus_1_2100_hkt,P1_normal_mos,0.03389307988315365,S1_conservative_simplex_stack
fold4__t_minus_1_2100_hkt,C1_multinomial_ridge,0.02457231861802009,S1_conservative_simplex_stack
fold4__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.5,H1_b4_challenger_linear_pool
fold4__t_minus_1_2100_hkt,E2_student_t_emos,0.5,H1_b4_challenger_linear_pool
presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology,0.0,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf,0.03477192701434697,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf,0.02130704385133527,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.027133324976649782,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.85,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos,0.02998965649027773,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_2100_hkt,C1_multinomial_ridge,0.03679804766739023,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.5,H1_b4_challenger_linear_pool
presealed_2022_2023__t_minus_1_2100_hkt,T1_time_decay_b4,0.5,H1_b4_challenger_linear_pool
sealed_2024_2026_05__t_minus_1_2100_hkt,B0_climatology,5.637851296924623e-18,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_2100_hkt,B1_global_residual_pmf,0.03648457575975939,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_2100_hkt,B2_month_residual_pmf,0.02880301516685684,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.023692192057416822,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.85,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_2100_hkt,P1_normal_mos,0.031118938800074027,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_2100_hkt,C1_multinomial_ridge,0.029901278215892956,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.5,H1_b4_challenger_linear_pool
sealed_2024_2026_05__t_minus_1_2100_hkt,T1_time_decay_b4,0.5,H1_b4_challenger_linear_pool
