cutoff_profile,model_id,season_bucket,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope,official_max_bin,official_range_bin,issue_hour_bucket,fcst_flag_thunderstorm,hourly_any_thunderstorm_warning_24h,hourly_any_rainstorm_warning_24h
tminus1_2359,B0_climatology_persistence,,4120,1.989645631067961,2.5153473673909885,1.6799999999999997,-0.5924417475728155,3.099999999999998,4.101,5.02,10.479999999999999,24.667218446601943,25.259660194174756,25.105097087378642,by_hourly_any_thunderstorm_warning_24h,,,,,0.0,
tminus1_2359,B0_climatology_persistence,,1509,1.6742677269715043,2.0807677987240094,1.4099999999999966,0.02712392312789949,2.599999999999998,3.3240000000000016,4.099999999999998,8.040000000000003,30.297634194831016,30.270510271703113,30.233929754804507,by_hourly_any_thunderstorm_warning_24h,,,,,1.0,
tminus1_2359,D0_A7_reproduction,,4120,0.875197788689957,1.1252035173561348,0.7090764887342118,-0.0165105487807259,1.405417594236887,1.8515892821169142,2.2529494440347317,7.769879133313763,25.24314964539403,25.259660194174756,25.105097087378642,by_hourly_any_thunderstorm_warning_24h,,,,,0.0,
tminus1_2359,D0_A7_reproduction,,1509,0.9627387759598051,1.2294991951547893,0.7888613058186351,0.04326399300105925,1.5655593198810716,2.0257979950264104,2.5044532093135223,4.432900809485698,30.313774264704175,30.270510271703113,30.233929754804507,by_hourly_any_thunderstorm_warning_24h,,,,,1.0,
tminus1_2359,D1_official_residual_memory_shrinkage,,4120,0.9103244028627997,1.1697369481743138,0.7251654076690279,-0.12481149408871046,1.4606654832742005,1.918107822821512,2.3359619821678588,8.676413671335707,25.134848700086046,25.259660194174756,25.105097087378642,by_hourly_any_thunderstorm_warning_24h,,,,,0.0,
tminus1_2359,D1_official_residual_memory_shrinkage,,1509,0.9846018189020495,1.2575221280155862,0.8283427043092928,-0.025414836869555996,1.583979968249477,2.1251840323783364,2.5194490019574354,4.473738263073525,30.24509543483356,30.270510271703113,30.233929754804507,by_hourly_any_thunderstorm_warning_24h,,,,,1.0,
tminus1_2359,D2_A3_plus_residual_memory_lgbm,,4120,0.8846866110824468,1.1395295792726035,0.7149336209483508,0.0024545344248631884,1.4210805333907242,1.8758234707544565,2.2729594257705914,8.33355436070451,25.26211472859962,25.259660194174756,25.105097087378642,by_hourly_any_thunderstorm_warning_24h,,,,,0.0,
tminus1_2359,D2_A3_plus_residual_memory_lgbm,,1509,0.9716533857739644,1.2416828610678987,0.7995419927287379,0.029123911339501856,1.5754589122186133,2.0672160775278954,2.522889505181227,4.544581973816044,30.299634183042613,30.270510271703113,30.233929754804507,by_hourly_any_thunderstorm_warning_24h,,,,,1.0,
tminus1_2359,D3_pruned_full_plus_residual_memory_lgbm,,4120,0.880994210868134,1.133094881682302,0.7196240736095003,-0.004496130198612735,1.411004020074058,1.8668686394961642,2.266457308799612,8.309032433536702,25.255164063976142,25.259660194174756,25.105097087378642,by_hourly_any_thunderstorm_warning_24h,,,,,0.0,
tminus1_2359,D3_pruned_full_plus_residual_memory_lgbm,,1509,0.9729757871645718,1.241299735509208,0.809379006009177,0.04407537628068481,1.5682655154406449,2.0524712188721996,2.505648963157985,4.31514274759947,30.314585647983797,30.270510271703113,30.233929754804507,by_hourly_any_thunderstorm_warning_24h,,,,,1.0,
tminus1_2359,D4_residual_memory_constrained_stack,,4120,0.8750083095502295,1.1247630070255137,0.7076139616686419,-0.013822745265509955,1.4093897530592119,1.8489431668150924,2.251327629768894,7.765872394008893,25.24583744890925,25.259660194174756,25.105097087378642,by_hourly_any_thunderstorm_warning_24h,,,,,0.0,
tminus1_2359,D4_residual_memory_constrained_stack,,1509,0.9625598037019267,1.2287635196176605,0.7935596707864043,0.038044972148791725,1.5715852488393438,2.030048935624189,2.5000574562604263,4.43121708379833,30.30855524385191,30.270510271703113,30.233929754804507,by_hourly_any_thunderstorm_warning_24h,,,,,1.0,
tminus1_2359,D5_conservative_A7_plus_memory_blend,,4120,0.8751639140330525,1.1253503810977958,0.7078892674623454,-0.014775096556782503,1.4093897530592119,1.849967430550189,2.251327629768894,7.85,25.244885097617974,25.259660194174756,25.105097087378642,by_hourly_any_thunderstorm_warning_24h,,,,,0.0,
tminus1_2359,D5_conservative_A7_plus_memory_blend,,1509,0.9625643804959013,1.2288390589915412,0.7935596707864043,0.03799442136301087,1.5715852488393438,2.030048935624189,2.5000574562604263,4.43121708379833,30.30850469306613,30.270510271703113,30.233929754804507,by_hourly_any_thunderstorm_warning_24h,,,,,1.0,
tminus1_1800,A0_raw_official,,4686,0.9506615450277425,1.2117506902750206,0.7999999999999972,-0.13247972684592402,1.5,2.0,2.3999999999999986,4.600000000000001,26.648506188647033,26.780985915492955,26.648506188647033,by_hourly_any_rainstorm_warning_24h,,,,,,0.0
tminus1_1800,A0_raw_official,,364,1.1461538461538463,1.4091342521773222,1.0,-0.06483516483516476,1.8999999999999986,2.3000000000000007,2.6000000000000014,3.6999999999999993,29.29945054945055,29.36428571428571,29.29945054945055,by_hourly_any_rainstorm_warning_24h,,,,,,1.0
tminus1_1800,A1_grouped_residual,,4686,0.9422474231724859,1.200155453992336,0.7601994073456293,-0.007999184872234263,1.5143794310456897,1.9666708565721152,2.3956249194328265,4.449828392952849,26.772986730620726,26.780985915492955,26.648506188647033,by_hourly_any_rainstorm_warning_24h,,,,,,0.0
tminus1_1800,A1_grouped_residual,,364,1.1442991736786066,1.408383185167767,0.9840878485839184,0.008777102962813673,1.863181593972581,2.3306208012997076,2.6415896570397974,3.8143190076642632,29.37306281724853,29.36428571428571,29.29945054945055,by_hourly_any_rainstorm_warning_24h,,,,,,1.0
tminus1_1800,A2_revision_residual_lgbm,,4686,0.9327030801555022,1.1903642508872787,0.7505408749491913,0.03285331242340219,1.5101881104118249,1.9505290413599514,2.3846063673610107,4.610189062400551,26.81383922791636,26.780985915492955,26.648506188647033,by_hourly_any_rainstorm_warning_24h,,,,,,0.0
tminus1_1800,A2_revision_residual_lgbm,,364,1.1432168086085808,1.4142658163047765,1.0123699012447211,0.016169225094185995,1.8677276326601262,2.3918427877743107,2.7034398146063925,3.9806297325562525,29.3804549393799,29.36428571428571,29.29945054945055,by_hourly_any_rainstorm_warning_24h,,,,,,1.0
tminus1_1800,A3_hko_hourly_state_residual_lgbm,,4686,0.9195016709207791,1.1753069524797912,0.7456302294834103,0.030813922121619108,1.4738902428457905,1.9260380822248546,2.3348658502658086,4.646536335096918,26.811799837614576,26.780985915492955,26.648506188647033,by_hourly_any_rainstorm_warning_24h,,,,,,0.0
tminus1_1800,A3_hko_hourly_state_residual_lgbm,,364,1.1343463728635699,1.3999767350661918,0.9642214058485621,0.045280979711493245,1.8999568052822717,2.30368243622775,2.5990297641487285,4.064089954860485,29.409566693997206,29.36428571428571,29.29945054945055,by_hourly_any_rainstorm_warning_24h,,,,,,1.0
tminus1_1800,A4_network_gradients_residual_lgbm,,4686,0.9220635841591167,1.1769834233528698,0.7551559898094666,0.024111710222915823,1.471216982644389,1.922641564475601,2.3447657057369975,4.734129812117974,26.80509762571587,26.780985915492955,26.648506188647033,by_hourly_any_rainstorm_warning_24h,,,,,,0.0
tminus1_1800,A4_network_gradients_residual_lgbm,,364,1.127278593792115,1.3879142675110434,0.9349258912206881,0.02208142862362583,1.8573862161602155,2.3175521719370757,2.585087753954504,3.9415201563001894,29.38636714290934,29.36428571428571,29.29945054945055,by_hourly_any_rainstorm_warning_24h,,,,,,1.0
