bin,lo,hi,count,confidence,accuracy,abs_gap,validation_split,method
7,0.7000000000000001,0.8,7,0.7233160325144201,0.7142857142857143,0.009030318228705814,fold4__t_minus_1_2100_hkt,K1_B4_power_calibrated
8,0.8,0.9,21,0.8553957596732245,0.7619047619047619,0.09349099776846259,fold4__t_minus_1_2100_hkt,K1_B4_power_calibrated
9,0.9,1.0,148,0.9858142400690276,0.9864864864864865,0.0006722464174588882,fold4__t_minus_1_2100_hkt,K1_B4_power_calibrated
0,0.0,0.1,0,,,,fold4__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected
1,0.1,0.2,0,,,,fold4__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected
2,0.2,0.30000000000000004,67,0.2779350645147556,0.29850746268656714,0.020572398171811557,fold4__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected
3,0.30000000000000004,0.4,242,0.3471832562657415,0.33884297520661155,0.008340281059129928,fold4__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected
4,0.4,0.5,153,0.42737445572457144,0.38562091503267976,0.04175354069189169,fold4__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected
5,0.5,0.6000000000000001,15,0.5317594383748678,0.4,0.1317594383748678,fold4__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected
6,0.6000000000000001,0.7000000000000001,24,0.63739846821019,0.7083333333333334,0.0709348651231434,fold4__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected
7,0.7000000000000001,0.8,9,0.7329028242193626,0.6666666666666666,0.06623615755269596,fold4__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected
8,0.8,0.9,21,0.8714469838651896,0.7619047619047619,0.10954222196042773,fold4__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected
9,0.9,1.0,148,0.9881444207499186,0.9864864864864865,0.0016579342634320815,fold4__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected
0,0.0,0.1,0,,,,fold4__t_minus_1_2100_hkt,S1_conservative_simplex_stack
1,0.1,0.2,0,,,,fold4__t_minus_1_2100_hkt,S1_conservative_simplex_stack
2,0.2,0.30000000000000004,67,0.2785915813922356,0.31343283582089554,0.03484125442865993,fold4__t_minus_1_2100_hkt,S1_conservative_simplex_stack
3,0.30000000000000004,0.4,277,0.3492272933186582,0.35379061371841153,0.004563320399753323,fold4__t_minus_1_2100_hkt,S1_conservative_simplex_stack
4,0.4,0.5,118,0.42628943505049866,0.3898305084745763,0.03645892657592237,fold4__t_minus_1_2100_hkt,S1_conservative_simplex_stack
5,0.5,0.6000000000000001,15,0.5230485015648819,0.4,0.1230485015648819,fold4__t_minus_1_2100_hkt,S1_conservative_simplex_stack
6,0.6000000000000001,0.7000000000000001,24,0.6497076914470462,0.7083333333333334,0.05862564188628716,fold4__t_minus_1_2100_hkt,S1_conservative_simplex_stack
7,0.7000000000000001,0.8,9,0.7314595940862586,0.6666666666666666,0.06479292741959197,fold4__t_minus_1_2100_hkt,S1_conservative_simplex_stack
8,0.8,0.9,21,0.8729736429473091,0.7619047619047619,0.1110688810425472,fold4__t_minus_1_2100_hkt,S1_conservative_simplex_stack
9,0.9,1.0,148,0.9877886683858724,0.9864864864864865,0.0013021818993859124,fold4__t_minus_1_2100_hkt,S1_conservative_simplex_stack
0,0.0,0.1,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology
1,0.1,0.2,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology
2,0.2,0.30000000000000004,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology
3,0.30000000000000004,0.4,667,0.3518730336187298,0.32233883058470764,0.029534203034022155,presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology
4,0.4,0.5,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology
5,0.5,0.6000000000000001,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology
6,0.6000000000000001,0.7000000000000001,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology
7,0.7000000000000001,0.8,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology
8,0.8,0.9,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology
9,0.9,1.0,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology
0,0.0,0.1,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf
1,0.1,0.2,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf
2,0.2,0.30000000000000004,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf
3,0.30000000000000004,0.4,380,0.32370602401870874,0.3605263157894737,0.03682029177076496,presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf
4,0.4,0.5,27,0.43665999639189895,0.48148148148148145,0.0448214850895825,presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf
5,0.5,0.6000000000000001,38,0.563340003608103,0.5789473684210527,0.015607364812949664,presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf
6,0.6000000000000001,0.7000000000000001,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf
7,0.7000000000000001,0.8,34,0.7603660204106074,0.6764705882352942,0.08389543217531326,presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf
8,0.8,0.9,13,0.8347154603708289,0.8461538461538461,0.011438385783017258,presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf
9,0.9,1.0,175,0.9858016950517944,0.9942857142857143,0.008484019233919948,presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf
0,0.0,0.1,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf
1,0.1,0.2,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf
2,0.2,0.30000000000000004,108,0.27049281010564663,0.3148148148148148,0.044322004709168195,presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf
3,0.30000000000000004,0.4,269,0.35226703742222404,0.37174721189591076,0.019480174473686718,presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf
4,0.4,0.5,30,0.4252303277476893,0.4666666666666667,0.041436338918977356,presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf
5,0.5,0.6000000000000001,38,0.5512489503358713,0.5789473684210527,0.027698418085181364,presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf
6,0.6000000000000001,0.7000000000000001,7,0.6873370950533354,0.7142857142857143,0.0269486192323789,presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf
