validation_split,method,mean_max_probability,mean_entropy
fold1__t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,0.5513406687480318,1.1498858590318397
fold1__t_minus_1_1800_hkt,K0_B4_identity,0.5569604080915133,1.0550372387546274
fold1__t_minus_1_1800_hkt,K1_B4_power_calibrated,0.5502188154891391,1.0741994892348605
fold1__t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,0.5569604080915133,1.0550372387546285
fold1__t_minus_1_1800_hkt,S1_conservative_simplex_stack,0.5537605755693682,1.0662331491553947
fold2__t_minus_1_1800_hkt,B0_climatology,0.3600374788099291,2.0534193706890633
fold2__t_minus_1_1800_hkt,B1_global_residual_pmf,0.5445339049476013,1.09904073267628
fold2__t_minus_1_1800_hkt,B2_month_residual_pmf,0.5482594616829115,1.0736054999519746
fold2__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.5595570751981648,1.052721748216735
fold2__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.5613234942401641,1.0435634966460867
fold2__t_minus_1_1800_hkt,B5_kernel_analog_pmf,0.5647490190830843,1.0268719477731818
fold2__t_minus_1_1800_hkt,B6_month_climatology_diagnostic,0.48229594441684037,1.4315550917836866
fold2__t_minus_1_1800_hkt,P1_normal_mos,0.5274423546750944,1.1110379094235738
fold2__t_minus_1_1800_hkt,P2_student_t_mos,0.521712606733196,1.1587655554497753
fold2__t_minus_1_1800_hkt,C1_multinomial_ridge,0.5455290935410358,1.1100013827104156
fold2__t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,0.5506627924088621,1.1364713265532476
fold2__t_minus_1_1800_hkt,K0_B4_identity,0.5613234942401641,1.0435634966460867
fold2__t_minus_1_1800_hkt,K1_B4_power_calibrated,0.5544797392834019,1.0628625838349297
fold2__t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,0.561323494240164,1.0435634966460878
fold2__t_minus_1_1800_hkt,S1_conservative_simplex_stack,0.5549239857203082,1.0840971711021676
fold3__t_minus_1_1800_hkt,B0_climatology,0.35981665336936897,2.0658413090018324
fold3__t_minus_1_1800_hkt,B1_global_residual_pmf,0.5346936345553499,1.1289175877802486
fold3__t_minus_1_1800_hkt,B2_month_residual_pmf,0.5360012016559624,1.1159975936365794
fold3__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.5418283962336055,1.095193983058447
fold3__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.5452530472393644,1.0880637497620096
fold3__t_minus_1_1800_hkt,B5_kernel_analog_pmf,0.5466041858112103,1.067491266197639
fold3__t_minus_1_1800_hkt,B6_month_climatology_diagnostic,0.48378870371788363,1.4215247913951499
fold3__t_minus_1_1800_hkt,P1_normal_mos,0.5165946972041106,1.1393332413552282
fold3__t_minus_1_1800_hkt,P2_student_t_mos,0.5104718205159596,1.1897735598029826
fold3__t_minus_1_1800_hkt,C1_multinomial_ridge,0.5318027079331042,1.1500821366132257
fold3__t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,0.5372923126003585,1.1770827135801463
fold3__t_minus_1_1800_hkt,K0_B4_identity,0.5452530472393644,1.0880637497620096
fold3__t_minus_1_1800_hkt,K1_B4_power_calibrated,0.5376599746946582,1.1089887832346013
fold3__t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,0.5452530472393644,1.0880637497620105
fold3__t_minus_1_1800_hkt,S1_conservative_simplex_stack,0.5423477514128591,1.098524557120976
fold4__t_minus_1_1800_hkt,B0_climatology,0.3566613157426526,2.0796215529403517
fold4__t_minus_1_1800_hkt,B1_global_residual_pmf,0.5202415178378521,1.153143246960744
fold4__t_minus_1_1800_hkt,B2_month_residual_pmf,0.5189885945887764,1.1498717628521193
fold4__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.5244656341304552,1.1198940497229013
fold4__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.5320948467404084,1.1138918249447218
fold4__t_minus_1_1800_hkt,B5_kernel_analog_pmf,0.5347666822153665,1.0837003508123204
fold4__t_minus_1_1800_hkt,B6_month_climatology_diagnostic,0.4727855437011695,1.4516296641048536
fold4__t_minus_1_1800_hkt,P1_normal_mos,0.5021953213952741,1.1657025556816507
fold4__t_minus_1_1800_hkt,P2_student_t_mos,0.4959870348130853,1.216758538150816
fold4__t_minus_1_1800_hkt,C1_multinomial_ridge,0.5144906510392605,1.1778596929123366
fold4__t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,0.5232250999102528,1.1990006571623817
fold4__t_minus_1_1800_hkt,K0_B4_identity,0.5320948467404084,1.1138918249447218
fold4__t_minus_1_1800_hkt,K1_B4_power_calibrated,0.5241570418284368,1.13587295690592
fold4__t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,0.5320948467404084,1.1138918249447225
fold4__t_minus_1_1800_hkt,S1_conservative_simplex_stack,0.5284980174339292,1.1248208757500533
presealed_2022_2023__t_minus_1_1800_hkt,B0_climatology,0.35089750971918454,2.097611652128467
presealed_2022_2023__t_minus_1_1800_hkt,B1_global_residual_pmf,0.545204972865001,1.1032727919063219
presealed_2022_2023__t_minus_1_1800_hkt,B2_month_residual_pmf,0.5453547103655187,1.0931785897656108
presealed_2022_2023__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.5400631298796581,1.0880387553170219
presealed_2022_2023__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.5486320846659335,1.0721871958874816
presealed_2022_2023__t_minus_1_1800_hkt,B5_kernel_analog_pmf,0.5468302808240098,1.0636427854866872
presealed_2022_2023__t_minus_1_1800_hkt,B6_month_climatology_diagnostic,0.46800648116989435,1.463929355459954
presealed_2022_2023__t_minus_1_1800_hkt,P1_normal_mos,0.5237947883040321,1.1193323841832337
presealed_2022_2023__t_minus_1_1800_hkt,P2_student_t_mos,0.5178867139988872,1.1685985795223615
presealed_2022_2023__t_minus_1_1800_hkt,C1_multinomial_ridge,0.5228669186792022,1.1453247607812105
presealed_2022_2023__t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,0.5296968815449851,1.1688224466370671
presealed_2022_2023__t_minus_1_1800_hkt,K0_B4_identity,0.5486320846659335,1.0721871958874816
presealed_2022_2023__t_minus_1_1800_hkt,K1_B4_power_calibrated,0.5411603592439559,1.0928372890293603
presealed_2022_2023__t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,0.5486320846659335,1.0721871958874825
presealed_2022_2023__t_minus_1_1800_hkt,S1_conservative_simplex_stack,0.5452458067954736,1.0830810116056582
sealed_2024_2026_05__t_minus_1_1800_hkt,B0_climatology,0.34843481669095455,2.1101364985180386
sealed_2024_2026_05__t_minus_1_1800_hkt,B1_global_residual_pmf,0.5354568288000372,1.1231836343937995
sealed_2024_2026_05__t_minus_1_1800_hkt,B2_month_residual_pmf,0.5303419744065606,1.1322376788112642
sealed_2024_2026_05__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.5359907328830451,1.1017608373371133
sealed_2024_2026_05__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.5372395291038223,1.1028829653455405
sealed_2024_2026_05__t_minus_1_1800_hkt,B5_kernel_analog_pmf,0.5361112390063874,1.0898002489809089
sealed_2024_2026_05__t_minus_1_1800_hkt,B6_month_climatology_diagnostic,0.47302612150247986,1.4656386627434699
sealed_2024_2026_05__t_minus_1_1800_hkt,P1_normal_mos,0.5163937063329794,1.1336227858464136
sealed_2024_2026_05__t_minus_1_1800_hkt,P2_student_t_mos,0.5104762594902239,1.1840973656400657
sealed_2024_2026_05__t_minus_1_1800_hkt,C1_multinomial_ridge,0.5198447450362236,1.150602517914459
sealed_2024_2026_05__t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,0.5277939341711488,1.173720507713036
sealed_2024_2026_05__t_minus_1_1800_hkt,K0_B4_identity,0.5372395291038223,1.1028829653455405
sealed_2024_2026_05__t_minus_1_1800_hkt,K1_B4_power_calibrated,0.5301068201453596,1.122707304314501
sealed_2024_2026_05__t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,0.5372395291038223,1.1028829653455412
sealed_2024_2026_05__t_minus_1_1800_hkt,S1_conservative_simplex_stack,0.5347088610751326,1.1111742178959239
fold1__t_minus_1_2100_hkt,B0_climatology,0.3607784422249812,2.0470467911371406
fold1__t_minus_1_2100_hkt,B1_global_residual_pmf,0.5495848675816865,1.0873609326577556
fold1__t_minus_1_2100_hkt,B2_month_residual_pmf,0.5506982661567522,1.064029929114133
fold1__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.5660673896875005,1.0429589395883796
fold1__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.5588431559443887,1.0441080210363287
fold1__t_minus_1_2100_hkt,B5_kernel_analog_pmf,0.565841595552405,1.0200121605868184
fold1__t_minus_1_2100_hkt,B6_month_climatology_diagnostic,0.48538205988375044,1.4255469311574618
fold1__t_minus_1_2100_hkt,P1_normal_mos,0.5363270558465415,1.0938947043236
fold1__t_minus_1_2100_hkt,P2_student_t_mos,0.5304689642025241,1.1428725171337482
fold1__t_minus_1_2100_hkt,C1_multinomial_ridge,0.5539896298316707,1.1034726075054297
fold1__t_minus_1_2100_hkt,C2_ordinal_cdf_logistic,0.5537639414601713,1.1419802341692666
fold1__t_minus_1_2100_hkt,K0_B4_identity,0.5588431559443887,1.0441080210363287
