method,family,split,row_count,rps,rps_delta_vs_b4,relative_rps_gain_vs_b4,nll,brier,crps,ece,mce,entropy
C2_ordinal_cdf_logistic,direct_classifier,fold1,1096,0.042410625080277625,0.0010538838804021386,-0.025482759275174988,1.0347458190548329,0.045123134050397466,0.4241062508027762,0.02730285724249387,0.1862132181089613,1.0833742179501993
B6_month_climatology_diagnostic,diagnostic,fold1,1096,0.07475130352346207,0.033394562323586584,-0.8074756703433665,1.389259234207929,0.053586492939844514,0.7475130352346209,0.022742140143735923,0.05657209325848378,1.3510933416573363
B0_climatology,baseline,fold1,1096,0.17863346865955915,0.13727672745968367,-3.3193313466414267,2.00676872757961,0.07278835762918853,1.7863346865955905,0.0079182982166639,0.0079182982166639,1.9807972067462347
B5_kernel_analog_pmf,analog_pmf,fold2,1095,0.03957557401407786,-0.0004996648853862473,0.01246816985020965,1.0228817286626755,0.04382765303725494,0.39575574014077863,0.02291225607775704,0.05359092204866428,0.9639513950491365
B4_hierarchical_residual_pmf,residual_pmf,fold2,1095,0.040075238899464107,0.0,0.0,0.9904848298915684,0.043992427313920904,0.4007523889946411,0.025933660859636654,0.11768708052360638,0.9744418356260469
K2_B4_monotone_cdf_projected,calibration,fold2,1095,0.040075238899464107,0.0,0.0,0.9904848298915686,0.043992427313920904,0.4007523889946411,0.02593366085963675,0.11768708052360627,0.974441835626048
K0_B4_identity,calibration,fold2,1095,0.040075238899464107,0.0,0.0,0.9904848298915684,0.043992427313920904,0.4007523889946411,0.025933660859636654,0.11768708052360638,0.9744418356260469
K1_B4_power_calibrated,calibration,fold2,1095,0.040081238653585885,5.9997541217785e-06,-0.00014971224842426904,0.9901586207948208,0.043977088173094855,0.4008123865358588,0.02237973935834458,0.08979193083797882,0.9932960488053735
S1_conservative_simplex_stack,stack,fold2,1095,0.04008218355150316,6.944652039056476e-06,-0.0001732903466022592,0.99187526304684,0.04396487578606541,0.4008218355150316,0.018535804273380696,0.07395392931948391,1.0184707409869036
B3_forecast_level_residual_pmf,residual_pmf,fold2,1095,0.04012874231306316,5.3503413599054195e-05,-0.001335074102322311,0.9977552671086399,0.04412736152598941,0.40128742313063176,0.010924240247040888,0.1584817201733335,0.9825239407397984
B1_global_residual_pmf,residual_pmf,fold2,1095,0.04016352388484291,8.828498537880036e-05,-0.002202980888031111,1.0057818657837605,0.04428927297891812,0.4016352388484291,0.030477912837849334,0.1584817201733335,1.019901087411399
P1_normal_mos,mos,fold2,1095,0.04035810619032186,0.0002828672908577537,-0.007058405604702116,1.0080945709262494,0.04449467652414868,0.4035810619032185,0.027124199919652328,0.10011855460612995,1.0310715726529203
B2_month_residual_pmf,residual_pmf,fold2,1095,0.04038873301209129,0.00031349411262718285,-0.00782263864761078,1.0004164454990863,0.04423215007203343,0.4038873301209129,0.03292005728143027,0.3581994043513976,1.003288321561402
P2_student_t_mos,mos,fold2,1095,0.040465083186225013,0.000389844286760907,-0.009727809427135319,1.0121945015079261,0.04454417218283521,0.4046508318622501,0.03119696841698667,0.08461710036932057,1.0775448728050954
C1_multinomial_ridge,direct_classifier,fold2,1095,0.0417247408356254,0.001649501936161292,-0.041160127336966404,1.0277960582291203,0.045193175460572665,0.41724740835625396,0.030959295732852405,0.362834055645342,1.045486679463483
C2_ordinal_cdf_logistic,direct_classifier,fold2,1095,0.04216174649525593,0.002086507595791827,-0.05206475751838196,1.038543388697174,0.045333671904876034,0.4216174649525594,0.035665333465786965,0.24222506426339302,1.0755235413631337
B6_month_climatology_diagnostic,diagnostic,fold2,1095,0.07551061014306257,0.03543537124359846,-0.8842210855559568,1.404144748251546,0.05402575521945534,0.7551061014306257,0.04299578322568101,0.1615401198983929,1.355937366891538
B0_climatology,baseline,fold2,1095,0.19417458991170575,0.15409935101224165,-3.8452509640386023,2.0748610217987706,0.0736595529394151,1.941745899117057,0.01590266784747596,0.01590266784747596,1.985970912341423
B5_kernel_analog_pmf,analog_pmf,fold3,1095,0.04092844592767752,-0.00026665641581023053,0.006473012582583968,1.1071269767012282,0.046303214707218314,0.40928445927677526,0.02149672757130341,0.5242150820958577,1.01737136613095
S1_conservative_simplex_stack,stack,fold3,1095,0.041112443609831156,-8.265873365659315e-05,0.002006518468321274,1.0403160119131574,0.046420496800801,0.41112443609831156,0.030098407616145025,0.08270679174738543,1.0451552542921434
B1_global_residual_pmf,residual_pmf,fold3,1095,0.04116373098464365,-3.1371358844102526e-05,0.0007615312757940461,1.0420202083789722,0.04645314288760319,0.41163730984643637,0.014613059448171905,0.08810597156243316,1.0702946805454223
B3_forecast_level_residual_pmf,residual_pmf,fold3,1095,0.04118904857386975,-6.053769618000193e-06,0.00014695362491209328,1.0495101078874398,0.04644515353115233,0.4118904857386975,0.023284418137281056,0.12738332920816858,1.0428514329655771
K0_B4_identity,calibration,fold3,1095,0.04119510234348775,0.0,0.0,1.0462284424500858,0.04650853131951503,0.4119510234348775,0.02947508416393169,0.07871425375405261,1.0342665569795988
K2_B4_monotone_cdf_projected,calibration,fold3,1095,0.04119510234348775,0.0,0.0,1.0462284424500858,0.04650853131951503,0.4119510234348775,0.029475084163931808,0.07871425375405261,1.0342665569795997
B4_hierarchical_residual_pmf,residual_pmf,fold3,1095,0.04119510234348775,0.0,0.0,1.0462284424500858,0.04650853131951503,0.4119510234348775,0.02947508416393169,0.07871425375405261,1.0342665569795988
K1_B4_power_calibrated,calibration,fold3,1095,0.04122339462405979,2.829228057204397e-05,-0.0006867874810976529,1.0461566797907773,0.04651062728083267,0.412233946240598,0.02425744009978125,0.15454831651040757,1.0551198909393202
B2_month_residual_pmf,residual_pmf,fold3,1095,0.041231771432800955,3.666908931320573e-05,-0.0008901322542533382,1.048991127507806,0.046493424356785905,0.41231771432800945,0.016762453265710502,0.08973333385760429,1.0625938581843324
P1_normal_mos,mos,fold3,1095,0.041263221106722196,6.811876323444682e-05,-0.0016535646074251167,1.0464544039841135,0.04662032782284784,0.41263221106722187,0.041367895629417374,0.693045801837903,1.0796683556155338
P2_student_t_mos,mos,fold3,1095,0.041396474428701174,0.00020137208521342487,-0.004888253063055162,1.052010199027696,0.04670768898088881,0.4139647442870117,0.03572290027997654,0.19248686387837544,1.1293722772699366
